,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.17,0.05,0.63,0.34,0.46,0.29,0.5,0.38,0.38,0.61
firebird.csv,0.3,0.33,1.0,0.4,0.74,0.69,0.87,0.87,0.41,0.92
fmri-dmt.csv,0.6,0.52,0.93,0.62,0.95,0.45,0.28,0.95,0.4,0.16
htmlunit.csv,0.31,0.24,0.38,0.37,0.36,0.24,0.65,0.64,0.4,0.6
monetdb.csv,0.51,0.33,0.12,0.35,0.15,0.08,0.31,0.64,0.31,0.1
ontomorphtab.csv,0.36,0.14,0.29,0.5,0.34,0.41,0.44,0.72,0.43,0.61
smarttag.csv,0.58,0.43,0.56,0.62,0.48,0.63,0.67,0.33,0.44,0.89
taokgame.csv,0.06,0.14,0.1,0.44,0.12,0.07,0.26,0.46,0.04,0.06
webdriver.csv,0.63,0.43,0.35,0.67,0.15,0.29,0.26,0.54,0.61,0.35
xbplayer.csv,0.29,0.29,0.4,0.47,0.27,0.28,0.43,0.41,0.16,0.39
