,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.44,0.51,0.7,0.64,0.75,0.64,0.67,0.46,0.76,0.34
firebird.csv,0.58,0.77,0.0,0.67,0.6,0.67,0.39,0.42,0.74,0.3
fmri-dmt.csv,0.42,0.55,0.27,0.54,0.21,0.25,0.28,0.21,0.29,0.96
htmlunit.csv,0.59,0.72,0.43,0.56,0.69,0.69,0.6,0.67,0.62,0.48
monetdb.csv,0.63,0.64,0.9,0.52,0.43,0.38,0.54,0.59,0.75,0.2
ontomorphtab.csv,0.62,0.72,0.62,0.64,0.64,0.73,0.69,0.64,0.7,0.34
smarttag.csv,0.63,0.66,0.22,0.64,0.68,0.69,0.61,0.53,0.57,0.38
taokgame.csv,0.28,0.39,0.98,0.42,0.36,0.11,0.62,0.45,0.39,0.2
webdriver.csv,0.64,0.68,0.61,0.58,0.5,0.43,0.76,0.59,0.7,0.2
xbplayer.csv,0.55,0.76,0.68,0.68,0.68,0.59,0.73,0.57,0.59,0.66
