,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.5,0.62,0.25,0.57,0.59,0.56,0.63,0.34,0.62,0.09
firebird.csv,0.61,0.8,0.2,0.57,0.51,0.55,0.56,0.43,0.59,0.17
fmri-dmt.csv,0.43,0.61,0.21,0.45,0.48,0.2,0.31,0.43,0.24,0.55
htmlunit.csv,0.61,0.77,0.18,0.49,0.57,0.61,0.58,0.47,0.5,0.13
monetdb.csv,0.63,0.69,0.62,0.46,0.44,0.44,0.54,0.41,0.63,0.15
ontomorphtab.csv,0.63,0.77,0.3,0.53,0.54,0.58,0.65,0.47,0.56,0.09
smarttag.csv,0.64,0.71,0.07,0.54,0.53,0.54,0.6,0.41,0.46,0.18
taokgame.csv,0.38,0.48,0.71,0.36,0.39,0.15,0.63,0.32,0.48,0.18
webdriver.csv,0.66,0.72,0.27,0.49,0.51,0.39,0.73,0.41,0.55,0.07
xbplayer.csv,0.58,0.79,0.28,0.56,0.59,0.52,0.68,0.42,0.58,0.24
