,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.28,0.36,0.17,0.83,0.13,0.64,0.4,0.75,0.28,0.54,0.57,0.26,0.05,0.33,0.36,1.0
chipster.csv,0.0,0.2,0.68,0.36,0.34,0.58,0.54,0.41,0.7,0.0,0.26,0.16,0.13,0.13,0.88,1.0
delphilhlplib.csv,0.36,0.58,0.47,0.85,0.1,0.54,0.11,0.34,0.26,0.77,0.2,0.61,0.27,0.53,0.52,0.0
emite.csv,0.2,0.56,0.5,0.89,0.21,0.08,0.38,0.34,0.38,0.77,0.31,0.68,0.23,0.33,0.33,0.0
hydrate.csv,0.04,0.51,0.55,0.43,0.21,0.46,0.27,0.5,0.94,0.31,0.29,0.58,0.07,0.53,0.73,1.0
ivataopenportal.csv,0.44,0.88,0.95,0.96,0.76,0.98,0.82,0.93,0.89,1.0,0.69,0.81,0.37,0.9,0.73,1.0
jppf-project.csv,0.72,0.87,0.7,0.34,0.39,0.75,0.74,0.65,0.62,0.62,0.66,1.0,0.46,0.6,0.82,1.0
kolmafia.csv,1.0,0.93,0.76,0.36,0.98,0.98,0.86,0.82,0.74,1.0,1.0,0.71,0.86,0.87,0.79,1.0
l2j.csv,0.56,0.87,0.61,0.94,0.21,0.56,0.52,0.44,0.62,1.0,0.49,0.77,0.76,0.67,0.27,0.0
mb-unit.csv,0.84,0.69,0.85,0.74,0.99,0.92,0.88,0.89,1.0,0.31,0.34,0.16,0.81,0.8,0.88,1.0
opde.csv,0.6,0.7,0.64,0.7,0.31,0.19,0.43,0.57,0.7,0.54,0.49,0.39,0.39,0.67,0.91,1.0
pamguard.csv,0.12,0.44,0.58,0.94,0.48,0.71,0.47,0.71,0.45,0.77,0.66,0.35,0.28,0.33,0.21,1.0
quark.csv,0.12,0.16,0.09,0.21,0.03,0.07,0.0,0.07,0.04,0.92,0.17,0.45,0.14,0.33,0.09,0.0
stajistics.csv,0.76,0.54,0.86,0.92,0.54,0.86,0.82,0.65,1.0,0.38,0.66,0.39,0.75,0.73,0.97,1.0
tigermud.csv,0.44,0.5,0.3,0.28,0.97,0.17,0.5,0.26,0.34,0.23,0.74,0.45,0.16,0.6,0.97,1.0
