,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.39,0.88,0.39,0.76,0.67,0.7,0.92,0.92,0.68,0.25,0.56,0.33,0.75,0.29,0.63,0.01
chipster.csv,0.0,0.95,0.56,0.9,0.63,0.64,0.96,0.92,0.63,0.0,0.56,0.56,0.83,0.44,0.67,0.02
delphilhlplib.csv,0.64,0.85,0.47,0.9,0.46,0.64,1.0,0.91,0.75,0.36,0.54,0.49,0.75,0.39,0.65,0.0
emite.csv,0.62,0.84,0.42,0.75,0.68,0.56,0.92,0.89,0.6,0.18,0.65,0.6,0.69,0.38,0.65,0.0
hydrate.csv,1.0,0.89,0.43,0.85,0.66,0.69,0.83,0.9,0.61,0.2,0.71,0.53,0.88,0.5,0.75,0.01
ivataopenportal.csv,0.39,0.86,0.4,0.8,0.73,0.66,0.91,0.89,0.56,0.25,0.63,0.45,0.83,0.36,0.65,0.01
jppf-project.csv,0.46,0.84,0.4,0.9,0.45,0.65,0.99,0.87,0.63,0.19,0.55,0.46,0.71,0.34,0.63,0.01
kolmafia.csv,0.36,0.85,0.43,0.86,0.52,0.64,0.94,0.87,0.73,0.25,0.64,0.43,0.75,0.31,0.74,0.01
l2j.csv,0.38,0.86,0.4,0.74,0.7,0.62,0.89,0.88,0.59,0.22,0.61,0.47,0.85,0.3,0.82,0.0
mb-unit.csv,0.38,0.91,0.49,0.7,0.52,0.66,0.92,0.89,0.55,0.17,0.63,0.5,0.74,0.48,0.66,0.01
opde.csv,0.56,0.85,0.46,0.7,0.63,0.85,0.89,0.88,0.52,0.21,0.71,0.48,0.72,0.35,0.71,0.01
pamguard.csv,0.25,0.91,0.36,0.76,0.56,0.72,0.96,0.88,0.84,0.17,0.52,0.48,0.77,0.26,0.44,0.01
quark.csv,0.5,0.8,0.35,0.92,0.6,1.0,0.0,0.86,0.67,0.48,0.75,0.56,0.84,0.37,0.75,0.0
stajistics.csv,0.33,0.88,0.46,0.75,0.52,0.67,0.91,0.88,0.55,0.12,0.61,0.44,0.74,0.47,0.65,0.01
tigermud.csv,0.38,0.85,0.5,1.0,0.52,0.83,0.98,0.92,0.7,0.15,0.72,0.5,0.57,0.4,0.67,0.02
