,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.76,0.7,0.85,0.8,0.88,0.6,0.71,0.55,0.74,0.61,0.87,0.84,0.95,0.75,0.74,0.94
chipster.csv,1.0,0.8,0.49,0.65,0.69,0.71,0.52,0.64,0.57,1.01,0.81,0.84,0.87,0.87,0.75,0.56
delphilhlplib.csv,0.65,0.72,0.64,0.32,0.91,0.71,0.89,0.7,0.75,0.42,0.85,0.63,0.77,0.59,0.68,1.02
emite.csv,0.8,0.75,0.69,0.9,0.8,0.92,0.72,0.72,0.69,0.9,0.74,0.48,0.81,0.71,0.74,1.0
hydrate.csv,0.96,0.61,0.68,0.61,0.8,0.65,0.96,0.65,0.72,0.76,0.74,0.58,0.93,0.52,0.5,0.92
ivataopenportal.csv,0.68,0.86,0.97,0.72,0.38,0.91,0.89,0.87,0.85,0.73,0.74,0.77,0.66,0.7,0.74,0.97
jppf-project.csv,0.54,0.97,0.77,0.67,0.79,0.77,0.29,0.76,0.58,0.78,0.97,0.93,0.72,0.65,0.86,0.77
kolmafia.csv,0.98,0.93,0.72,0.66,0.97,1.0,0.64,0.88,0.42,0.77,0.95,0.78,0.74,0.87,0.52,0.94
l2j.csv,0.67,0.87,0.73,1.0,0.8,0.75,0.89,0.72,0.64,0.87,0.73,0.71,0.43,0.75,0.73,1.17
mb-unit.csv,0.79,0.51,0.62,0.98,0.97,0.85,0.88,0.82,1.0,0.78,0.74,0.85,0.75,0.43,0.8,1.0
opde.csv,0.48,0.81,0.63,0.94,0.72,0.82,0.84,0.69,0.82,0.68,0.61,0.69,0.72,0.63,0.64,0.88
pamguard.csv,0.9,0.62,0.82,0.89,0.65,0.56,0.59,0.76,0.56,0.95,1.06,0.71,0.75,0.79,0.92,0.86
quark.csv,0.88,0.88,0.92,0.79,0.97,0.93,1.0,0.93,0.96,0.26,0.83,0.61,0.86,0.71,0.91,1.0
stajistics.csv,0.88,0.62,0.71,0.89,0.7,0.77,0.89,0.74,1.0,0.93,0.79,0.72,0.7,0.45,0.9,1.0
tigermud.csv,0.69,0.72,0.73,0.72,0.96,0.83,0.52,0.76,0.68,0.84,0.54,0.65,0.89,0.56,0.84,0.41
