,brlcad.csv,ogre.csv,autat.csv,mimosa.csv,google-web-toolkit.csv,ftm.csv,jcache.csv
autat.csv,0.32,0.5,0.0,0.33,0.24,0.2,0.12
brlcad.csv,0.03,0.5,0.69,0.48,0.59,0.76,0.1
ftm.csv,0.21,0.0,0.07,0.48,0.22,0.01,0.15
google-web-toolkit.csv,0.22,0.5,0.24,0.45,0.01,0.42,0.15
jcache.csv,0.85,0.5,0.62,0.31,0.6,0.1,0.0
mimosa.csv,0.42,1.0,0.82,0.05,0.59,0.72,0.29
ogre.csv,1.0,0.0,1.0,1.0,0.95,0.93,1.0
