,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,4.0,0.0,12.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,2.0,2.0,1.0
cubefs.csv,2.0,2.0,63.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0
gisgraphy.csv,17.0,1.0,24.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0
iaml.csv,0.0,17.0,0.0,0.0,0.0,17.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0
ivatamasks.csv,38.0,2.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0
kolmafia.csv,11.0,0.0,6.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0
ogrehg.csv,2.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0
olex2.csv,0.0,5.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,2.0,4.0
openwbem.csv,11.0,1.0,13.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,11.0,2.0,0.0
oppna-program-hsatools.csv,6.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0
orc.csv,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0
ta3d.csv,9.0,28.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,10.0
umber.csv,2.0,2.0,17.0,1.0,2.0,21.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0
xcmetadataservicestoolkit.csv,6.0,4.0,6.0,1.0,0.0,15.0,0.0,0.0,1.0,1.0,5.0,1.0,2.0,3.0
