,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,0.95,0.99,0.76,1.0,0.7,0.9,1.0,0.76,0.28,1.0,0.95,0.63,0.88,1.0
cubefs.csv,0.09,0.23,0.52,0.85,0.17,0.39,0.61,0.38,0.33,0.27,0.67,1.0,1.0,0.58
gisgraphy.csv,0.31,0.17,0.36,0.02,0.83,0.3,0.01,0.85,0.58,0.33,0.26,0.66,0.5,0.19
iaml.csv,0.33,0.15,0.09,0.34,0.48,0.33,0.32,0.09,0.0,0.67,0.51,0.13,0.0,0.5
ivatamasks.csv,0.95,0.2,0.46,0.34,0.13,0.31,0.48,0.71,0.42,0.33,0.28,0.89,0.5,0.69
kolmafia.csv,0.84,0.72,0.91,0.83,0.39,0.83,0.69,0.53,0.56,0.6,0.26,0.86,0.69,0.98
ogrehg.csv,0.64,0.82,0.63,0.34,0.52,0.28,0.51,0.68,0.22,0.93,0.77,0.3,0.56,0.67
olex2.csv,0.42,0.6,0.24,0.96,0.0,0.18,0.44,0.21,0.0,0.33,0.49,0.28,0.5,0.54
openwbem.csv,0.73,0.26,0.37,0.72,0.04,0.27,0.1,0.38,0.47,0.33,0.46,0.46,0.38,0.4
oppna-program-hsatools.csv,0.76,0.98,0.46,1.0,0.13,0.68,0.69,0.41,0.03,0.73,0.72,0.37,0.88,1.0
orc.csv,0.15,0.22,0.2,0.38,0.22,0.26,0.19,0.79,0.03,0.93,0.23,0.15,0.06,0.15
ta3d.csv,0.29,0.14,0.14,0.87,0.09,0.05,0.57,0.18,0.0,0.0,0.49,0.1,0.44,0.33
umber.csv,0.09,0.55,0.98,0.68,1.0,0.59,0.82,0.94,0.78,0.67,0.79,0.68,0.88,0.85
xcmetadataservicestoolkit.csv,0.64,0.36,0.31,0.81,0.09,0.42,0.91,0.18,0.31,0.4,0.82,0.3,0.62,0.69
