,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.82,0.75,0.91,0.92,0.88,0.8,0.88,0.69,0.96,0.81,0.86,1.0,0.65,0.29,0.72
grafx2.csv,0.69,0.54,0.86,0.62,0.7,0.59,0.44,0.31,0.62,0.19,0.57,0.67,0.5,0.23,0.62
keyczar.csv,0.03,0.13,0.14,0.12,0.07,0.01,0.27,0.06,0.13,0.18,0.36,0.0,0.0,0.73,0.17
lmms.csv,0.97,0.67,0.82,0.77,0.33,0.57,0.71,0.81,0.66,0.96,0.64,0.33,0.27,0.69,0.81
lufa-lib.csv,0.72,0.58,0.45,0.58,0.77,0.54,0.71,0.94,0.64,0.7,0.5,0.0,0.45,0.65,0.66
netatalk.csv,0.69,0.74,0.36,0.46,0.67,0.56,0.36,0.88,0.62,0.5,0.71,1.0,0.71,0.81,0.85
openmeetings.csv,0.51,0.46,0.95,0.46,0.65,0.73,0.49,0.5,0.66,0.51,0.79,0.33,0.35,0.15,0.47
openxava.csv,0.64,0.34,0.73,0.54,0.35,0.63,0.67,0.75,0.66,0.37,0.79,1.0,0.24,0.48,0.62
pgui.csv,0.0,0.01,0.91,0.92,0.6,0.0,0.0,0.19,0.68,0.87,0.79,0.0,0.86,0.62,0.83
qpe.csv,0.72,0.54,0.68,0.77,0.74,0.66,0.24,0.25,0.72,0.9,0.79,0.33,0.48,0.27,0.43
quickfast.csv,0.85,0.85,1.0,0.96,0.98,0.76,0.77,0.5,0.98,0.83,0.71,1.0,0.79,0.9,0.79
rsyslog.csv,0.79,0.78,0.73,0.77,0.53,0.51,0.25,0.69,0.57,0.56,0.36,1.0,0.65,0.33,0.51
sylpheed-claws.csv,1.0,0.97,0.95,1.0,1.0,0.92,0.71,0.94,0.64,1.0,1.0,1.0,1.0,1.0,1.0
xqilla.csv,0.1,0.23,0.45,0.04,0.21,0.14,0.19,0.12,0.17,0.18,0.36,1.0,0.15,0.27,0.26
yale.csv,0.69,0.6,0.41,0.96,1.0,0.46,0.25,0.44,0.36,0.98,1.0,0.0,0.62,0.54,0.53
