,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.0,1.0,4.0,4.0,3.0,16.0,3.0,12.0,2.0,11.0,5.0,44.0,0.0,0.0,7.0
grafx2.csv,4.0,0.0,2.0,0.0,2.0,16.0,0.0,9.0,1.0,6.0,1.0,35.0,0.0,0.0,1.0
keyczar.csv,11.0,0.0,0.0,6.0,3.0,0.0,9.0,3.0,10.0,5.0,1.0,119.0,79.0,0.0,0.0
lmms.csv,0.0,2.0,6.0,3.0,4.0,25.0,4.0,4.0,4.0,11.0,7.0,54.0,0.0,0.0,0.0
lufa-lib.csv,0.0,0.0,35.0,3.0,2.0,35.0,3.0,33.0,1.0,3.0,1.0,119.0,0.0,1.0,1.0
netatalk.csv,0.0,0.0,36.0,1.0,2.0,81.0,0.0,33.0,0.0,3.0,0.0,41.0,0.0,3.0,2.0
openmeetings.csv,6.0,0.0,0.0,0.0,2.0,30.0,2.0,1.0,0.0,1.0,7.0,67.0,0.0,0.0,0.0
openxava.csv,26.0,2.0,17.0,0.0,0.0,28.0,0.0,0.0,3.0,9.0,0.0,8.0,0.0,1.0,6.0
pgui.csv,499.0,0.0,30.0,2.0,1.0,962.0,232.0,0.0,1.0,11.0,12.0,119.0,0.0,3.0,2.0
qpe.csv,27.0,0.0,13.0,0.0,1.0,10.0,0.0,23.0,1.0,9.0,5.0,72.0,0.0,1.0,1.0
quickfast.csv,0.0,0.0,25.0,3.0,2.0,18.0,0.0,17.0,3.0,11.0,15.0,53.0,0.0,2.0,0.0
rsyslog.csv,0.0,1.0,31.0,1.0,1.0,80.0,0.0,33.0,0.0,4.0,2.0,44.0,0.0,0.0,1.0
sylpheed-claws.csv,0.0,0.0,41.0,4.0,2.0,3.0,1.0,3.0,4.0,11.0,1.0,60.0,0.0,3.0,2.0
xqilla.csv,14.0,2.0,44.0,0.0,0.0,32.0,1.0,0.0,5.0,6.0,1.0,1.0,0.0,4.0,0.0
yale.csv,0.0,0.0,3.0,4.0,2.0,17.0,3.0,6.0,2.0,11.0,1.0,119.0,0.0,2.0,2.0
