,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.4,0.48,0.44,0.7,0.38,0.46,0.38,0.41,0.41,0.38,0.41,0.26,0.41,0.46
chrysalis.csv,0.41,0.56,0.58,0.61,0.58,0.4,0.33,0.32,0.38,0.88,0.34,0.33,0.37,0.54
etics.csv,0.5,0.9,0.56,0.56,0.75,0.68,0.43,0.86,0.44,0.87,0.53,0.27,0.63,0.5
flexpay.csv,0.0,0.45,0.88,0.43,0.54,0.95,0.5,0.42,0.7,0.43,0.89,0.27,0.5,0.6
ifmo-game-1.csv,0.8,0.76,0.86,0.53,0.5,0.75,0.91,0.5,0.69,0.56,0.75,0.39,0.49,0.9
jcl.csv,0.5,0.42,0.46,0.44,0.41,0.55,0.42,0.33,0.55,0.43,0.59,0.26,0.49,0.42
linuxsh.csv,0.69,0.92,0.67,0.73,0.67,0.75,0.92,0.86,0.65,0.0,0.71,0.41,0.76,0.88
mvdsv.csv,0.5,0.8,0.67,0.92,0.46,0.5,0.88,0.56,0.93,0.86,0.79,0.0,0.46,0.75
openmeetings.csv,0.44,0.56,0.56,0.56,0.0,0.6,0.69,0.44,0.4,0.36,0.92,0.71,0.43,0.66
plato.csv,0.39,0.4,0.44,0.4,0.42,0.44,0.38,0.54,0.4,0.36,0.41,0.26,0.38,0.68
projecteqemu.csv,0.5,0.55,0.44,0.46,0.5,0.69,0.37,0.89,0.47,0.92,0.48,0.32,0.48,0.9
scite-ru.csv,0.38,0.43,0.43,0.4,0.65,0.45,0.38,0.49,0.39,0.4,0.39,0.4,0.37,0.79
uclmda.csv,0.91,0.89,0.88,0.8,0.92,0.86,0.5,0.83,0.77,0.0,0.0,0.27,0.92,0.83
vrjuggler.csv,0.0,0.97,0.0,0.58,0.67,0.8,0.0,0.69,0.96,0.57,0.83,0.5,0.75,0.0
