,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.27,0.32,0.47,0.62,0.71,0.13,0.52,0.17,0.31,0.27,0.56,0.05,0.46,0.8
bibedt.csv,0.4,0.38,0.23,0.62,0.29,0.13,0.74,0.52,0.51,0.44,0.17,0.13,0.65,0.34
brlcad.csv,0.53,0.2,0.5,0.11,0.28,0.29,0.49,0.47,0.31,0.52,0.24,0.09,0.66,0.37
co-ode-owl-plugins.csv,0.26,0.33,0.56,0.73,0.67,0.19,0.55,0.27,0.48,0.4,0.56,0.2,0.66,0.8
firebreath.csv,0.44,0.29,0.66,0.66,0.11,0.16,0.77,0.41,0.55,0.49,0.33,0.16,0.59,0.35
fltk.csv,0.23,0.47,0.52,0.71,0.36,0.19,0.46,0.24,0.74,0.43,0.55,0.24,0.76,0.41
glas.csv,0.32,0.26,0.48,0.66,0.31,0.2,0.78,0.35,0.53,0.31,0.63,0.15,0.8,0.5
gretl.csv,0.38,0.3,0.47,0.62,0.34,0.43,0.79,0.38,0.48,0.25,0.5,0.14,0.62,0.52
konversation.csv,0.28,0.5,0.59,0.59,0.36,0.23,0.57,0.41,0.49,0.39,0.05,0.14,0.53,0.26
micomt.csv,0.42,0.26,0.55,0.71,0.27,0.13,0.52,0.4,0.45,0.67,0.46,0.23,0.8,0.32
openxava.csv,0.36,0.39,0.37,0.51,0.16,0.36,0.61,0.33,0.32,0.12,0.1,0.26,0.39,0.55
sumatrapdf.csv,0.4,0.23,0.55,0.74,0.28,0.2,0.71,0.39,0.76,0.36,0.6,0.19,0.82,0.37
tweetsharp.csv,0.43,0.39,0.53,0.51,0.31,0.09,0.29,0.53,0.52,0.49,0.34,0.0,0.81,0.6
wxcode.csv,0.17,0.4,0.39,0.56,0.1,0.24,0.53,0.3,0.51,0.36,0.05,0.5,0.3,0.02
