,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.29,0.33,0.45,0.64,0.67,0.56,0.37,0.1,0.23,0.46,0.81,0.14,0.31,0.97
bibedt.csv,1.0,0.75,0.13,0.52,0.72,0.5,0.62,0.6,0.65,0.46,0.11,0.14,0.55,0.66
brlcad.csv,0.76,0.25,0.43,0.06,0.78,0.25,0.33,0.4,0.19,0.46,0.16,0.14,0.52,0.4
co-ode-owl-plugins.csv,0.31,0.58,0.63,0.93,0.72,0.94,0.4,0.2,0.45,0.69,0.81,0.57,0.55,0.97
firebreath.csv,0.84,0.83,0.73,0.64,0.17,0.44,0.68,0.7,0.58,0.85,0.22,0.43,0.45,0.66
fltk.csv,0.28,0.67,0.7,0.67,0.83,0.94,0.31,0.2,0.68,0.46,0.65,0.71,0.74,0.4
glas.csv,0.45,0.75,0.57,0.76,0.72,1.0,0.67,0.7,0.81,0.92,0.68,0.71,0.86,0.51
gretl.csv,0.56,0.75,0.58,0.61,0.83,0.81,0.69,0.7,0.65,0.69,0.62,0.57,0.57,0.57
konversation.csv,0.28,0.75,0.6,0.54,0.44,0.88,0.42,0.8,0.52,0.85,0.03,0.43,0.43,0.2
micomt.csv,0.6,0.75,0.78,0.91,0.89,0.38,0.36,0.8,0.29,0.77,0.62,1.0,0.83,0.57
openxava.csv,0.42,0.75,0.3,0.44,0.28,0.88,0.47,0.6,0.39,0.23,0.05,0.57,0.29,0.51
sumatrapdf.csv,0.74,0.75,0.92,0.94,0.83,1.0,0.58,0.9,0.84,0.85,0.97,0.86,0.95,0.86
tweetsharp.csv,0.68,0.75,0.7,0.39,0.83,0.31,0.17,0.4,0.45,0.69,0.41,0.0,0.76,0.66
wxcode.csv,0.17,0.58,0.3,0.5,0.06,0.62,0.38,0.3,0.45,0.31,0.03,1.0,0.19,0.03
