,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.45,0.88,0.0,0.0,0.4,0.65,0.13,0.56,0.71,0.06,0.73,0.0
fityk.csv,0.49,1.0,0.36,0.63,0.28,0.62,0.2,0.56,0.79,0.07,0.47,0.21
hatari.csv,0.67,0.78,0.35,0.68,0.28,0.65,0.14,1.0,0.71,0.05,0.56,0.18
lmms.csv,0.75,0.86,0.44,0.77,0.27,0.63,0.15,0.72,0.64,0.07,0.36,0.26
mecat.csv,0.75,1.0,0.62,0.83,0.29,0.75,0.0,0.0,1.0,0.3,0.0,0.4
nullc.csv,0.5,1.0,0.35,0.71,0.26,0.7,0.11,0.6,0.72,0.07,0.7,0.27
oscarmcmaster.csv,0.57,1.0,0.61,0.75,0.29,0.59,0.21,0.59,0.71,0.09,0.44,0.32
superwaba.csv,0.68,0.91,0.59,0.71,0.32,0.7,0.22,0.7,0.74,0.06,0.41,0.28
tycho.csv,0.62,1.0,0.51,0.79,0.33,0.76,0.4,0.81,0.82,0.07,0.5,0.42
vienna-add-in.csv,0.48,0.87,0.3,0.64,0.28,0.79,0.13,0.61,0.65,0.02,0.0,0.24
voms.csv,0.59,1.0,0.37,0.74,0.3,0.65,0.42,0.62,0.81,0.06,0.38,0.27
wsmt.csv,0.33,0.7,0.43,0.73,0.43,0.61,0.0,1.0,0.0,0.0,0.84,0.2
