,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,nunit.csv
calcubetimer.csv,0.2,0.03,0.63,0.19,0.0,0.34
chaperon.csv,0.3,0.21,0.42,0.08,0.75,0.37
mule.csv,0.38,0.01,0.14,0.21,0.0,0.43
nunit.csv,0.22,0.18,0.52,0.35,0.25,0.26
springside.csv,0.53,0.28,0.54,0.58,0.0,0.28
swtfox.csv,0.45,0.77,0.22,0.35,0.5,0.61
