,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.78,0.73,0.28,0.78,0.86,0.89,0.85,0.92,0.66,1.06,0.66,0.78
miranda-icq.csv,0.72,0.56,0.97,0.88,0.85,0.82,0.63,0.91,0.51,1.05,0.6,0.61
pclasses.csv,0.23,0.81,1.0,1.0,0.97,1.0,1.0,0.96,1.0,0.81,0.66,0.79
pfaedit.csv,0.92,0.53,1.0,0.49,0.31,0.94,0.62,0.74,1.0,0.59,0.57,0.71
rockbox.csv,0.69,0.66,0.98,0.4,0.51,0.76,0.58,0.48,0.69,0.55,0.58,0.39
theresa.csv,0.87,0.47,0.81,0.24,0.44,1.0,0.64,0.68,0.73,0.54,0.62,0.69
thrust.csv,1.0,0.84,0.78,1.0,0.75,0.53,0.87,0.86,0.84,0.88,0.82,0.83
tktoolkit.csv,0.82,0.95,0.87,1.01,0.7,0.81,0.74,0.54,0.85,1.06,0.82,0.85
trinitycore.csv,0.55,0.59,1.0,0.48,0.86,0.68,0.69,0.96,0.85,0.6,0.5,0.49
tzod.csv,0.84,0.5,0.46,0.32,0.53,0.89,0.61,0.76,0.62,1.07,0.55,0.84
yaprm.csv,0.75,0.65,1.0,0.4,0.84,0.78,0.47,0.65,0.94,1.08,0.67,0.75
