,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.62,1.02,0.81,0.0,0.84,0.85,0.76,1.05,0.67,0.75,0.59,0.79,0.79,0.81,0.82
encog-cs.csv,0.78,1.01,0.56,0.87,0.82,0.66,0.91,0.79,0.02,0.85,0.94,0.72,0.73,0.91,0.75
extprosys.csv,0.87,0.73,0.09,0.73,0.84,0.77,0.76,0.62,0.78,0.77,0.81,0.8,0.85,0.85,0.59
ibatisdb.csv,1.0,0.97,0.89,0.91,0.89,0.77,0.65,0.86,0.98,0.81,0.71,0.57,0.98,0.03,1.01
intact.csv,1.14,0.61,0.69,0.64,0.62,0.13,0.65,0.55,0.67,0.73,0.63,0.79,0.62,0.66,0.89
japano.csv,0.62,1.01,0.99,0.66,0.74,0.93,0.45,0.0,0.62,0.65,0.99,0.64,0.81,0.93,0.92
lockss.csv,0.15,0.86,1.0,0.92,0.84,0.84,0.9,0.9,0.68,0.09,0.9,0.85,0.94,0.98,1.0
ofbiz.csv,1.06,0.7,0.71,0.81,0.83,0.74,0.95,0.82,0.69,0.75,0.49,0.85,0.02,0.51,0.61
officefloor.csv,1.02,0.58,0.85,0.78,0.89,0.72,0.79,0.5,0.91,0.94,0.16,0.63,0.91,0.71,0.78
opennms.csv,0.13,0.73,0.87,0.92,0.07,0.97,0.72,0.93,0.8,0.75,0.82,0.91,0.75,0.84,0.9
rohxel.csv,0.96,1.0,0.52,0.68,0.9,0.86,0.0,0.68,0.92,0.92,0.83,0.87,0.87,0.91,0.97
roolo.csv,0.45,0.72,0.67,0.86,0.72,0.75,0.85,0.8,0.66,0.76,0.7,0.05,0.55,0.85,0.71
sevenupdate.csv,0.9,0.0,1.0,1.0,0.72,0.91,0.91,0.89,0.94,0.78,0.97,0.92,0.93,0.94,0.97
web-cat.csv,1.05,0.66,0.89,0.79,0.64,0.83,0.75,0.49,0.74,0.76,0.83,0.66,0.78,0.93,0.0
