,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.62,1.0,0.77,0.0,0.79,0.79,0.64,1.0,0.58,0.7,0.57,0.7,0.78,0.81,0.77
encog-cs.csv,0.78,1.0,0.41,0.86,0.77,0.6,0.91,0.78,0.0,0.84,0.94,0.7,0.69,0.9,0.68
extprosys.csv,0.87,0.67,0.01,0.64,0.83,0.62,0.64,0.56,0.73,0.74,0.48,0.78,0.81,0.79,0.42
ibatisdb.csv,0.03,0.17,0.18,0.14,0.23,0.11,0.09,0.11,0.0,0.45,0.08,0.51,0.03,0.0,0.13
intact.csv,0.54,0.33,0.29,0.36,0.48,0.0,0.36,0.33,0.25,0.48,0.34,0.65,0.4,0.15,0.29
japano.csv,0.62,1.0,0.99,0.36,0.43,0.84,0.27,0.0,0.43,0.59,0.99,0.41,0.7,0.93,0.9
lockss.csv,0.15,0.0,0.0,0.07,0.17,0.11,0.09,0.0,0.23,0.0,0.44,0.03,0.09,0.13,0.03
ofbiz.csv,0.37,0.33,0.12,0.14,0.12,0.33,0.0,0.11,0.18,0.2,0.25,0.05,0.01,0.32,0.52
officefloor.csv,0.18,0.17,0.6,0.71,0.43,0.4,0.64,0.22,0.4,0.47,0.0,0.49,0.27,0.61,0.26
opennms.csv,0.13,0.17,0.07,0.07,0.0,0.08,0.0,0.11,0.13,0.18,0.1,0.16,0.11,0.13,0.13
rohxel.csv,0.96,1.0,0.39,0.64,0.9,0.85,0.0,0.67,0.92,0.91,0.82,0.84,0.87,0.91,0.97
roolo.csv,0.45,0.33,0.25,0.07,0.25,0.27,0.0,0.0,0.16,0.21,0.36,0.0,0.29,0.28,0.42
sevenupdate.csv,0.9,0.0,1.0,1.0,0.55,0.89,0.91,0.89,0.93,0.77,0.97,0.92,0.92,0.94,0.97
web-cat.csv,0.33,0.33,0.18,0.71,0.35,0.45,0.55,0.22,0.25,0.41,0.47,0.49,0.15,0.29,0.0
