,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.32,0.64,0.32,0.37,0.27,0.37,0.0,0.43,0.31,0.13,0.3
gbif-providertoolkit.csv,0.55,0.1,0.34,0.39,0.44,0.2,0.72,0.41,0.74,0.35,0.31
geochat.csv,0.28,0.0,0.09,0.18,0.11,0.3,0.76,0.19,0.19,0.25,0.45
heekscad.csv,0.78,0.21,0.62,0.46,0.34,0.38,0.57,0.43,0.84,0.43,0.32
igarden.csv,0.7,0.29,0.51,0.55,0.39,0.33,0.71,0.44,0.72,0.4,0.24
jstock.csv,0.65,0.21,0.63,0.49,0.36,0.39,0.48,0.71,0.55,0.43,0.31
levent.csv,0.55,0.2,0.0,0.0,0.31,0.32,0.76,0.46,0.0,0.0,0.0
piccolo2d.csv,0.2,0.0,0.46,0.12,0.43,0.46,0.61,0.36,0.34,0.38,0.2
pnotepad.csv,0.7,0.3,0.65,0.47,0.29,0.28,0.72,0.44,0.92,0.43,0.36
trinitycore.csv,0.56,0.27,0.46,0.48,0.2,0.28,0.15,0.28,0.48,0.42,0.17
xcsoar.csv,0.74,0.22,0.71,0.45,0.38,0.3,0.43,0.33,0.45,0.41,0.31
