,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,97.5,173.0,89.5,197.5,283.0,98.5,0.0,863.0,93.5,1041.5,191.0
gbif-providertoolkit.csv,196.5,285.5,296.5,98.5,363.0,98.5,99.0,524.0,98.5,393.5,484.5
geochat.csv,96.5,356.5,98.5,192.0,781.5,98.5,97.5,907.0,75.5,1095.5,188.0
heekscad.csv,196.5,390.5,188.0,188.0,479.0,98.5,97.5,315.0,98.5,98.5,486.5
igarden.csv,196.5,67.5,85.5,98.5,351.0,98.5,94.5,321.0,86.5,98.5,484.5
jstock.csv,196.5,719.0,86.5,95.5,432.5,98.5,94.5,437.5,93.5,98.5,288.5
levent.csv,196.5,64.5,0.0,0.0,572.5,98.5,99.0,158.0,0.0,0.0,0.0
piccolo2d.csv,94.5,0.0,83.5,86.5,283.5,98.5,97.5,114.0,86.5,98.5,379.0
pnotepad.csv,196.5,176.0,197.5,197.5,761.5,98.5,99.0,1053.0,98.5,98.5,481.5
trinitycore.csv,196.5,472.5,86.5,197.5,915.5,98.5,94.5,607.5,184.0,560.5,194.0
xcsoar.csv,196.5,324.0,180.0,95.5,382.5,98.5,94.5,197.5,93.5,98.5,280.5
