,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.7,0.42,0.5,0.44,0.67,0.45,0.42,0.89,0.5,0.36
bscwweasel.csv,0.94,0.88,0.88,0.5,0.83,0.86,0.0,0.9,0.97,0.83
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
fido.csv,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
japano.csv,0.59,0.49,0.47,0.5,0.5,0.6,0.85,0.32,0.41,0.7
joustsim.csv,0.83,0.93,0.93,0.8,0.92,0.76,0.82,0.92,0.7,0.53
log4net.csv,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
personalaccess.csv,0.51,0.36,0.47,0.34,0.97,0.39,0.39,0.36,0.39,0.39
rcp-company-uibindings.csv,0.42,0.39,0.44,0.32,0.49,0.35,0.47,0.31,0.4,0.35
unbvision.csv,0.5,0.56,0.56,0.44,0.75,0.48,0.6,0.38,0.46,0.41
