,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.67,0.75,0.74,0.0,0.55,0.62,0.54,1.02,0.68,0.54
bscwweasel.csv,0.1,0.94,1.0,0.96,0.97,0.94,1.0,0.76,0.88,1.01
cme.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
fido.csv,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
japano.csv,0.8,0.0,0.87,0.76,0.91,0.85,0.8,0.97,0.9,0.77
joustsim.csv,0.95,0.88,1.01,0.85,0.91,0.85,0.0,1.01,0.59,1.04
log4net.csv,1.0,0.99,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
personalaccess.csv,0.6,0.91,0.59,0.62,0.82,0.08,0.55,0.83,0.59,0.75
rcp-company-uibindings.csv,0.87,0.82,0.94,0.82,1.0,0.65,0.98,0.92,0.0,0.88
unbvision.csv,0.89,0.91,1.3,0.65,0.07,0.95,0.82,0.87,1.01,0.79
