,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv
alleg.csv,0.2,0.73,0.42,0.57,0.8,0.32,0.29,0.89,0.93,0.6,0.44,0.72,0.75,0.73,0.86,0.56,0.71
bwapi.csv,0.91,0.64,1.0,0.91,0.45,0.98,1.0,0.39,0.24,0.67,1.0,0.91,0.89,0.96,0.53,0.79,1.0
co-ode-owl-plugins.csv,0.51,0.64,0.58,0.7,0.8,0.53,0.24,0.72,0.94,0.73,0.06,0.35,0.23,0.58,0.53,0.72,0.29
firebreath.csv,0.37,0.82,0.75,0.8,0.8,0.72,0.14,0.22,0.87,0.73,0.12,0.66,0.57,0.62,0.31,0.31,0.43
frogatto.csv,0.66,0.55,0.92,0.8,0.57,0.7,0.86,0.44,0.61,0.6,1.0,0.72,0.75,1.0,0.67,0.28,1.0
gretl.csv,0.69,0.82,0.67,0.52,0.95,0.73,0.48,0.78,0.35,1.0,0.25,0.71,0.42,1.0,0.94,0.82,0.57
jasperreports.csv,0.37,0.36,1.0,0.63,0.43,0.78,0.9,0.33,0.22,0.2,1.0,0.71,0.78,0.96,0.31,0.13,0.14
konversation.csv,0.31,0.36,0.75,0.41,0.36,0.48,0.24,0.44,0.11,0.73,0.5,0.45,0.33,1.0,0.28,0.14,0.43
linuxsh.csv,0.4,0.73,0.08,0.2,0.64,0.18,0.0,0.72,0.96,0.6,0.0,0.14,0.1,0.0,0.61,0.65,0.0
moviesandbox.csv,0.86,0.45,0.92,0.52,0.7,0.68,0.1,0.61,0.78,0.8,0.06,0.17,0.18,0.58,0.42,0.31,0.43
ontomorphtab.csv,0.77,0.82,0.75,0.76,0.82,0.73,0.67,0.28,0.59,0.8,0.25,0.6,0.61,1.0,0.72,0.2,0.43
opengs.csv,0.2,0.55,0.75,0.7,0.7,0.35,0.1,0.11,0.74,0.4,0.0,0.44,0.43,0.38,0.5,0.38,0.57
scite-ru.csv,0.91,1.0,0.75,0.89,0.91,0.77,0.33,0.89,0.98,1.0,0.75,0.6,0.51,1.0,0.86,0.99,1.0
tokratan.csv,0.29,0.45,0.58,0.5,0.64,0.27,0.05,0.11,0.37,0.53,0.12,0.55,0.34,0.88,0.22,0.12,0.86
vrjuggler.csv,0.66,0.18,0.75,0.04,0.57,0.17,0.29,0.72,0.22,0.53,0.69,0.14,0.11,0.81,0.64,0.32,0.14
wxcode.csv,0.29,0.0,0.58,0.43,0.27,0.33,0.38,0.06,0.0,0.4,0.19,0.36,0.39,0.96,0.11,0.11,1.0
xuggle.csv,0.54,0.73,0.58,0.78,0.7,0.6,0.62,0.28,0.85,0.93,0.19,0.58,0.68,0.96,0.69,0.79,1.0
