,recall,precision,pf,pci_20,ifa,wins
alleg.csv,0.71,0.29,0.5,0.49,2.0,4
bwapi.csv,0.91,0.3,0.93,0.46,3.0,2
co-ode-owl-plugins.csv,0.58,0.48,0.36,0.62,2.0,12
firebreath.csv,0.62,0.44,0.41,0.53,2.0,9
frogatto.csv,0.7,0.36,0.55,0.39,1.0,5
gretl.csv,0.71,0.27,0.52,0.48,3.0,3
jasperreports.csv,0.43,0.27,0.67,0.53,2.0,1
konversation.csv,0.41,0.36,0.18,0.7,2.0,11
linuxsh.csv,0.2,0.38,0.19,0.75,4.0,7
moviesandbox.csv,0.52,0.31,0.37,0.74,2.0,10
ontomorphtab.csv,0.72,0.28,0.51,0.42,6.0,0
opengs.csv,0.43,0.6,0.27,0.57,2.0,14
scite-ru.csv,0.89,0.41,0.76,0.44,1.0,8
tokratan.csv,0.37,0.61,0.19,0.65,2.0,15
vrjuggler.csv,0.32,0.5,0.17,0.75,3.0,13
wxcode.csv,0.33,0.55,0.14,0.67,1.0,16
xuggle.csv,0.69,0.39,0.44,0.46,2.0,6
