,kmatplot.csv,firebird.csv,popeye-chess.csv,cities3d.csv,mscore.csv,openmalaria.csv,riff-evolve.csv
cities3d.csv,0.41,0.57,0.73,0.97,0.77,0.73,0.76
firebird.csv,0.53,0.49,0.57,0.54,0.55,0.63,0.54
kmatplot.csv,0.86,0.79,0.81,0.97,0.83,0.75,0.8
mscore.csv,0.47,0.5,0.56,0.58,0.47,0.49,0.42
openmalaria.csv,0.42,0.36,0.41,0.34,0.38,0.51,0.37
popeye-chess.csv,0.38,0.41,0.56,0.5,0.46,0.51,0.47
riff-evolve.csv,0.47,0.39,0.52,0.38,0.46,0.62,0.56
