,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.45,0.33,0.45,0.18,0.93,0.37,0.2,0.39,0.18,0.42,0.33,0.44,0.55,0.94,0.47
fmri-dmt.csv,0.4,0.42,0.47,0.29,0.0,0.28,0.94,0.31,0.26,0.44,0.19,0.42,0.38,0.27,0.43
ftm.csv,0.51,0.67,0.28,0.5,0.93,0.54,0.37,0.27,0.56,0.15,0.32,0.42,0.7,0.38,0.31
fulguro.csv,0.43,0.0,0.34,0.25,0.33,0.24,0.48,0.69,0.0,0.49,0.55,0.1,0.34,0.28,0.48
gss.csv,0.17,0.6,0.48,0.5,0.51,0.57,0.0,0.2,0.0,0.67,0.77,0.44,0.52,0.73,0.64
illumination.csv,0.0,0.0,0.0,0.0,0.13,0.2,0.63,0.41,0.0,0.83,0.63,0.0,0.0,0.13,0.0
ldview.csv,0.55,0.05,0.67,0.0,0.64,0.0,0.64,0.34,0.55,0.46,0.64,0.59,0.19,0.0,0.67
monetdb.csv,0.65,0.55,0.5,0.71,0.93,0.4,0.2,0.42,0.75,0.53,0.45,0.53,0.6,0.59,0.21
netatalk.csv,0.65,0.69,0.57,0.59,0.47,0.59,0.36,0.27,0.09,0.57,0.42,0.66,0.27,0.53,0.4
olex2.csv,0.71,0.43,0.0,0.07,0.76,0.41,0.85,0.38,0.26,0.15,0.32,0.71,0.66,0.55,0.0
qpe.csv,0.7,0.62,0.34,0.64,0.0,0.76,0.52,0.23,0.76,0.45,0.7,0.26,0.27,0.0,0.47
quark.csv,0.27,0.05,0.23,0.39,0.0,0.25,0.0,0.15,0.83,0.0,0.12,0.18,0.49,0.07,0.11
sepgsql.csv,0.64,0.81,0.52,0.6,0.96,0.6,0.2,0.22,0.79,0.28,0.45,0.58,0.61,0.48,0.38
synergyspace.csv,0.35,0.41,0.0,0.18,0.71,0.09,0.56,0.7,0.1,0.27,0.44,0.09,0.06,0.04,0.11
