,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.94,0.5,0.99,0.46,0.82,0.43,0.8,0.89,0.68,0.87,0.5,0.54,0.73,0.53,0.86,0.75
betoffice.csv,0.63,0.93,0.75,0.89,1.02,0.87,0.97,0.64,0.9,0.88,0.88,0.89,0.92,0.96,0.87,0.71
bnetd.csv,0.94,1.0,0.91,0.69,0.84,0.62,0.76,1.0,0.65,0.65,0.39,0.88,0.83,0.89,0.91,0.81
elvishrayrenderer.csv,0.61,1.03,0.9,0.54,0.36,0.42,0.82,0.88,0.75,0.65,0.6,0.71,0.83,0.93,0.45,0.38
emisview.csv,0.85,1.0,0.95,0.57,0.63,0.43,0.83,0.9,0.55,1.0,0.73,0.86,0.73,0.8,0.63,0.94
findbugs.csv,1.01,0.45,1.0,0.73,0.82,0.77,0.62,0.74,0.45,0.91,0.81,0.79,0.56,0.48,0.97,0.67
hazelcast.csv,0.85,0.54,0.46,0.69,0.05,0.87,0.8,0.75,0.86,0.65,0.59,0.65,0.82,0.79,0.55,0.71
jitterbit.csv,1.0,0.63,0.69,0.51,0.62,0.67,0.71,0.89,0.39,0.84,0.92,0.73,0.59,0.59,0.7,0.53
jppf-project.csv,1.02,0.87,0.83,0.85,0.83,0.9,0.81,0.83,0.92,0.84,0.9,0.45,0.78,0.84,0.69,0.94
megasquirtavr.csv,1.0,1.0,0.47,0.89,1.0,1.0,0.78,0.82,0.55,0.8,1.0,0.88,0.98,0.75,0.87,0.9
stajistics.csv,0.68,1.0,1.0,1.0,0.32,0.81,0.94,0.71,0.83,0.88,0.71,1.02,0.82,0.94,0.41,0.94
trackit.csv,0.94,0.91,0.81,0.85,0.85,0.96,0.67,0.85,0.67,0.85,0.84,0.78,0.82,0.83,0.8,0.91
tweetsharp.csv,0.77,0.9,0.99,0.67,1.08,0.72,0.75,0.89,0.7,0.51,0.95,0.99,0.62,0.35,0.84,0.87
wxlua.csv,0.73,0.93,0.88,0.91,1.0,0.85,0.78,0.99,0.69,0.63,0.97,0.86,0.66,0.67,0.86,0.8
x4x.csv,0.36,0.89,0.97,0.97,1.07,0.75,0.84,0.81,0.82,0.9,0.77,0.87,0.78,0.81,0.85,0.94
xharbour.csv,0.93,0.24,0.63,0.59,0.44,0.71,0.57,0.89,0.68,0.63,0.71,0.79,0.76,0.7,0.68,0.6
