,reactos-mirror.csv,critterding.csv,fceugc.csv,ogre.csv,autat.csv,mimosa.csv,alpine.csv,qse.csv,openfrag.csv,uclmda.csv,qdvdauthor.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,sandiaportals.csv,nativeclient.csv,factor.csv,miranda.csv
alpine.csv,0.98,0.75,0.0,0.88,0.67,0.0,0.91,0.88,0.67,0.67,0.75,0.75,0.67,0.0,0.0,0.0,0.8,0.83,0.96
autat.csv,0.61,0.75,0.83,0.97,0.88,0.52,0.95,0.72,0.71,0.84,0.69,0.67,0.88,0.0,0.62,0.72,0.91,0.68,0.47
critterding.csv,0.99,0.62,0.65,0.66,0.49,0.51,0.57,0.74,0.58,0.65,0.56,0.71,0.63,0.94,0.35,0.65,0.67,0.84,0.56
elateportal.csv,0.97,0.92,0.86,0.94,0.94,0.67,0.91,0.5,0.88,0.49,0.83,0.5,0.48,0.91,0.3,0.92,0.0,0.86,0.38
factor.csv,0.81,0.68,0.89,0.92,0.88,0.76,0.94,0.6,0.78,0.64,0.59,0.0,0.85,0.0,0.67,0.46,0.96,0.5,0.43
fceugc.csv,0.58,0.64,0.62,0.79,0.75,0.57,0.5,0.71,0.69,0.86,0.5,0.86,0.64,0.8,0.86,0.61,0.68,0.9,0.44
jstock.csv,0.59,0.89,0.89,0.62,0.7,0.76,0.95,0.54,0.71,0.81,0.5,0.77,0.94,0.0,0.0,0.54,0.89,0.61,0.68
keyczar.csv,0.58,0.47,0.55,0.47,0.93,0.0,0.84,0.68,0.56,0.43,0.79,0.75,0.94,0.43,0.64,0.75,0.78,0.75,0.61
mimosa.csv,0.48,0.51,0.45,0.53,0.4,0.55,0.51,0.43,0.47,0.27,0.4,0.5,0.44,0.49,0.67,0.45,0.55,0.92,0.4
miranda.csv,0.54,0.89,0.39,0.6,0.82,0.78,0.48,0.62,0.51,0.76,0.38,0.75,0.86,0.62,0.0,0.44,0.65,0.83,0.4
nativeclient.csv,0.48,0.59,0.48,0.67,0.43,0.62,0.52,0.47,0.47,0.81,0.5,0.36,0.67,0.56,0.8,0.47,0.56,0.8,0.42
ogre.csv,0.4,0.45,0.39,0.43,0.35,0.36,0.43,0.43,0.43,0.26,0.38,0.32,0.45,0.43,0.3,0.39,0.5,0.41,0.36
openfrag.csv,0.44,0.56,0.5,0.54,0.4,0.36,0.64,0.42,0.52,0.32,0.42,0.57,0.48,0.92,0.3,0.41,0.5,0.43,0.36
qdvdauthor.csv,0.45,0.6,0.43,0.73,0.44,0.75,0.49,0.47,0.55,0.96,0.44,0.63,0.57,0.51,0.48,0.46,0.6,0.83,0.5
qse.csv,0.7,0.94,0.9,0.84,0.91,0.74,0.84,0.5,0.59,0.37,0.48,0.91,0.76,0.75,0.75,0.56,0.85,0.55,0.42
reactos-mirror.csv,0.66,0.52,0.53,0.48,0.52,0.47,0.58,0.49,0.57,0.34,0.61,0.62,0.57,0.71,0.31,0.45,0.52,0.55,0.43
sandiaportals.csv,0.6,0.56,0.44,0.75,0.52,0.38,0.57,0.43,0.5,0.29,0.4,0.48,0.63,0.9,0.89,0.42,0.57,0.47,0.37
synergyspace.csv,0.79,0.75,0.0,0.96,0.89,0.89,0.88,0.7,0.88,0.67,0.75,0.89,0.92,0.83,0.0,0.0,0.95,0.5,0.5
uclmda.csv,0.99,0.61,0.67,0.83,0.88,0.92,0.92,0.5,0.88,0.26,0.0,0.5,0.66,0.88,0.0,0.67,0.8,0.56,0.45
