,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.98,0.69,0.75,0.61,0.68,0.83,0.98,0.38,0.94,0.52
geotools.csv,0.47,0.49,0.38,0.44,0.49,0.58,0.43,0.38,0.48,0.42
gephex.csv,0.51,0.55,0.56,0.39,0.54,0.36,0.42,0.52,0.45,0.41
haggle.csv,0.0,0.51,0.93,0.0,0.0,0.71,0.98,0.0,0.95,0.83
java-gnome.csv,0.58,0.76,0.87,0.44,0.78,0.39,0.46,0.68,0.48,0.42
jgnash.csv,0.45,0.36,0.66,0.32,0.44,0.5,0.47,0.38,0.43,0.33
jrdf.csv,0.97,0.96,0.43,0.4,0.59,0.48,0.5,0.93,0.55,0.6
mpqc.csv,0.97,0.98,0.8,0.96,0.85,0.88,0.95,0.49,0.79,0.58
panda3d.csv,0.76,0.64,0.81,0.81,0.68,0.9,0.63,0.42,0.93,0.78
tencompetence.csv,0.97,0.84,0.69,0.46,0.69,0.41,0.57,0.92,0.67,0.84
