,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.57,0.5,0.47,0.57,0.48,0.31,0.29,0.39,0.07,0.79
geotools.csv,0.47,0.54,0.71,0.52,0.55,0.51,0.65,0.54,0.3,0.65
gephex.csv,0.57,0.43,0.59,0.41,0.52,0.65,0.63,0.68,0.49,0.43
haggle.csv,0.0,0.64,0.33,0.0,0.0,0.38,0.24,0.0,0.05,0.11
java-gnome.csv,0.45,0.49,0.49,0.75,0.45,0.68,0.62,0.42,0.46,0.55
jgnash.csv,0.42,0.56,0.67,0.7,0.44,0.62,0.55,0.57,0.4,0.43
jrdf.csv,0.12,0.23,0.46,0.65,0.57,0.79,0.48,0.17,0.51,0.33
mpqc.csv,0.67,0.38,0.27,0.29,0.46,0.15,0.28,0.46,0.53,0.51
panda3d.csv,0.38,0.44,0.4,0.21,0.51,0.16,0.49,0.59,0.2,0.23
tencompetence.csv,0.44,0.34,0.57,0.63,0.46,0.38,0.47,0.12,0.79,0.19
