,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.12,0.0,0.24,0.0,1.0,0.38,0.15,0.09,0.1,0.0,0.24,0.12,0.15,0.32,0.16,0.0,0.05
codeblocks.csv,0.6,0.99,0.34,0.57,0.59,0.21,0.55,0.58,0.27,0.41,0.63,0.39,0.52,0.04,0.45,0.59,0.3
grisbi.csv,0.52,0.63,0.59,0.27,0.64,0.53,1.0,0.54,0.45,0.47,0.52,0.58,0.68,0.48,0.63,0.65,0.51
libmesh.csv,0.3,0.4,0.43,0.43,0.45,0.09,0.16,0.45,0.91,0.48,0.23,0.37,0.37,0.0,0.25,0.27,0.55
panda3d.csv,0.02,0.26,0.07,0.19,0.23,0.24,0.06,0.09,0.1,0.13,0.23,0.97,0.0,0.19,0.26,0.06,0.13
proftp.csv,0.28,0.32,0.47,0.27,0.53,0.98,0.38,0.14,0.27,0.26,0.45,0.44,0.27,0.44,0.34,0.2,0.1
red5.csv,0.51,0.4,0.58,0.96,0.61,0.63,0.42,0.54,0.42,0.0,0.33,0.56,0.68,0.33,0.56,0.34,0.54
skia.csv,0.45,0.41,0.47,0.58,0.37,0.31,0.38,0.53,0.35,0.26,0.61,0.29,0.25,0.51,0.89,0.61,0.65
soar.csv,0.53,0.44,0.58,0.55,0.51,0.44,0.0,0.55,0.67,0.52,0.52,0.45,0.63,1.0,0.52,0.33,0.57
super-tux.csv,0.56,0.0,0.38,0.51,0.05,0.0,0.0,0.47,0.0,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.5
t-2.csv,0.42,0.41,0.3,0.25,0.41,0.27,0.06,0.95,0.35,0.71,0.0,0.43,0.42,0.26,0.16,0.28,0.36
tart.csv,0.0,0.02,0.0,0.0,0.06,0.09,0.11,0.01,0.05,0.0,0.83,0.0,0.1,0.36,0.0,0.0,0.16
tcvp.csv,0.15,0.13,0.27,0.14,0.06,0.0,0.02,0.04,0.05,0.82,0.0,0.07,0.07,0.46,0.11,0.06,0.22
tencompetence.csv,0.35,0.06,0.43,0.44,0.12,0.0,0.1,0.16,0.44,0.0,0.23,0.18,0.4,0.49,0.16,0.05,0.98
utgb.csv,0.12,0.33,1.0,0.41,0.37,0.44,0.35,0.13,0.14,0.48,0.61,0.35,0.37,0.49,0.6,0.33,0.41
xbrlapi.csv,0.98,0.33,0.49,0.48,0.41,0.31,0.52,0.39,0.4,0.25,0.23,0.35,0.24,0.53,0.47,0.53,0.45
zemljanka.csv,0.34,0.63,0.24,0.43,0.54,0.13,0.7,0.45,0.17,0.44,0.74,0.35,0.51,0.38,0.41,1.0,0.3
