,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.36,0.25,0.3,0.84,0.04,0.53,0.54,1.0,0.02,0.66,0.48
cubefs.csv,0.35,0.23,0.17,0.88,0.06,0.58,0.62,0.77,0.03,0.76,0.46
iaml.csv,0.45,0.12,0.23,0.87,0.11,0.6,0.77,0.82,0.03,0.68,0.51
ivataopenportal.csv,0.43,0.23,0.2,0.86,0.11,0.69,0.56,0.69,0.0,0.73,0.46
mb-unit.csv,0.36,0.23,0.15,0.86,0.09,0.51,0.57,0.71,0.02,0.74,0.47
mvdsv.csv,0.5,0.0,0.0,0.92,1.0,0.5,0.45,1.0,0.0,1.0,0.75
nova.csv,0.43,0.67,0.23,0.86,0.0,0.45,0.7,0.7,0.03,0.92,0.49
olex2.csv,0.44,0.41,0.21,0.88,0.19,0.51,0.67,0.76,0.0,0.86,0.72
openwbem.csv,0.64,0.67,0.32,0.91,0.29,0.46,0.69,0.81,0.05,0.86,0.7
xcmetadataservicestoolkit.csv,0.33,0.2,0.14,0.85,0.0,0.48,0.52,0.65,0.02,0.83,0.5
