,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.84,0.91,0.07,0.86,0.76,0.5,0.53,0.0,0.98,1.0,0.87
cubefs.csv,0.31,1.0,1.0,0.59,0.97,0.63,0.65,0.56,0.56,0.67,1.0
iaml.csv,0.39,0.16,0.53,0.36,0.78,0.25,0.28,0.15,0.58,0.73,0.55
ivataopenportal.csv,0.55,1.0,0.75,0.84,0.76,0.37,0.84,1.0,0.58,0.8,1.0
mb-unit.csv,0.97,1.0,0.96,0.95,0.98,0.99,1.0,0.85,0.97,0.93,0.85
mvdsv.csv,0.01,0.18,0.0,0.01,0.0,0.01,0.06,0.0,0.05,0.0,0.01
nova.csv,0.31,0.11,0.64,0.32,0.46,0.4,0.26,0.59,0.59,0.07,0.56
olex2.csv,0.49,0.23,0.26,0.52,0.27,0.92,0.31,0.47,0.19,0.27,0.21
openwbem.csv,0.12,0.02,0.13,0.2,0.08,0.47,0.14,0.15,0.31,0.07,0.15
xcmetadataservicestoolkit.csv,0.9,1.0,0.42,0.68,0.52,0.96,0.57,0.41,1.0,0.47,0.7
