,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv
bochs.csv,0.24,0.27,0.51,0.58,0.93,0.23,0.38
encog-java.csv,0.92,0.11,0.49,0.13,0.0,0.31,0.05
galaxium.csv,0.35,0.31,0.39,0.45,0.12,0.19,1.0
h2database.csv,0.07,0.95,0.52,0.42,0.29,0.33,0.27
haphazard.csv,0.1,0.16,0.35,0.17,0.31,0.96,0.08
jaql.csv,0.29,0.31,0.57,0.97,0.56,0.19,0.45
raven-monitoring.csv,0.23,0.17,0.96,0.43,0.23,0.38,0.33
