,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.66,0.37,0.46,0.67,0.66,0.11,0.8,0.78,0.8,0.66,0.69,0.65,0.47,0.55
crux-framework.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33,1.0
etherboot.csv,0.66,0.89,0.89,0.77,0.05,0.7,0.82,0.87,0.76,0.72,0.68,0.79,1.0,0.86
freebios.csv,0.88,0.96,0.9,0.98,0.75,0.8,0.08,0.96,0.82,0.73,0.85,0.82,0.72,0.86
gebr.csv,0.85,0.69,0.76,0.56,0.66,0.89,0.89,0.11,0.67,0.86,0.65,0.67,0.72,0.87
gnukeda.csv,0.64,0.69,0.65,0.03,0.79,0.7,0.81,0.48,0.58,0.59,0.65,0.54,0.66,0.73
google-gears.csv,0.69,0.52,0.64,0.7,0.8,0.9,0.94,0.52,0.83,0.7,0.03,0.57,0.51,0.71
gstreamer.csv,0.62,0.37,0.51,0.65,0.69,0.59,0.75,0.59,0.56,0.77,0.63,0.03,0.83,0.61
jnode.csv,0.94,1.04,0.06,0.9,0.85,1.0,0.55,0.88,0.96,0.85,0.89,0.93,1.0,0.97
metacosm.csv,0.66,0.78,0.89,0.73,0.83,0.66,0.75,0.75,0.8,0.76,0.72,0.77,0.71,0.07
openmeetings.csv,0.58,0.05,0.65,0.7,0.73,0.45,0.78,0.68,0.53,0.62,0.71,0.65,0.44,0.44
pgui.csv,0.69,0.57,0.82,0.79,0.83,0.59,0.8,0.77,0.0,0.68,0.8,0.8,0.7,0.54
tradelink.csv,0.67,0.78,0.94,0.59,0.67,0.88,0.9,0.84,0.58,0.16,0.81,0.59,0.76,0.72
wxcrp.csv,0.03,0.59,0.71,0.82,0.73,0.5,0.9,0.79,0.52,0.76,0.9,0.63,0.82,0.79
