,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.31,0.19,0.38,0.19,0.16,0.0,0.18,0.71,0.21,0.4,0.11,0.19,0.33,0.19
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
etherboot.csv,0.48,0.36,0.14,0.0,0.0,0.45,0.25,0.21,0.17,0.21,0.3,0.19,0.08,0.29
freebios.csv,0.43,0.03,0.22,0.69,0.31,0.18,0.0,0.71,0.16,0.36,0.43,0.37,0.28,0.1
gebr.csv,0.79,0.66,0.66,0.47,0.57,0.89,0.73,0.05,0.66,0.84,0.59,0.65,0.72,0.87
gnukeda.csv,0.6,0.59,0.64,0.0,0.75,0.7,0.53,0.26,0.5,0.45,0.51,0.33,0.57,0.71
google-gears.csv,0.67,0.45,0.39,0.53,0.77,0.89,0.53,0.34,0.83,0.45,0.03,0.45,0.51,0.39
gstreamer.csv,0.39,0.25,0.49,0.22,0.36,0.52,0.41,0.18,0.34,0.51,0.27,0.01,0.49,0.52
jnode.csv,0.12,0.74,0.0,0.31,0.25,0.09,0.25,0.61,0.3,0.13,0.24,0.22,0.01,0.39
metacosm.csv,0.24,0.06,0.17,0.16,0.16,0.38,0.16,0.03,0.21,0.42,0.11,0.11,0.26,0.0
openmeetings.csv,0.19,0.0,0.41,0.09,0.26,0.28,0.27,0.03,0.16,0.21,0.08,0.12,0.28,0.32
pgui.csv,0.24,0.18,0.14,0.19,0.3,0.24,0.1,0.13,0.0,0.26,0.24,0.17,0.21,0.16
tradelink.csv,0.19,0.1,0.07,0.38,0.39,0.88,0.02,0.24,0.39,0.0,0.41,0.21,0.36,0.16
wxcrp.csv,0.0,0.52,0.7,0.06,0.26,0.3,0.0,0.05,0.35,0.18,0.03,0.12,0.75,0.74
