,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.68,1.0,0.54,0.69,0.56,0.46,0.0,0.0,0.45,0.37,0.54,0.39,0.11,0.31,0.56,0.45,0.7
avisynth2.csv,0.02,0.0,0.0,0.02,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0
bigdata.csv,0.28,0.32,0.51,0.39,0.49,0.26,0.0,0.3,0.63,0.28,0.38,0.98,0.2,0.28,0.63,0.33,0.56
dsworkbench.csv,1.0,0.4,0.35,0.38,0.05,0.21,0.37,0.0,0.14,0.44,0.16,0.33,0.13,0.12,0.14,0.13,0.0
foursquared.csv,0.07,0.18,0.0,0.18,0.97,0.18,0.38,0.24,0.65,0.37,0.16,0.38,0.13,0.13,0.31,0.3,0.97
geotools.csv,0.23,0.2,0.07,0.29,0.46,0.35,0.0,0.62,0.65,0.96,0.21,0.34,0.17,0.16,0.1,0.25,0.0
gephex.csv,0.46,0.67,0.46,0.64,0.24,0.41,0.36,0.0,0.63,0.55,0.97,0.4,0.07,0.31,0.63,0.37,0.51
jgossipforum.csv,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.05,0.06,0.07,0.02,0.1,0.07,0.0,0.0,0.9,0.05,0.04,0.0,0.04,0.06,0.0,0.02,0.0
pokenetonline.csv,0.58,0.4,0.61,1.0,0.68,0.76,0.67,0.78,0.68,0.67,0.47,0.52,0.17,0.37,0.18,0.63,0.6
qmmp.csv,0.7,0.68,0.65,0.56,0.64,0.64,0.65,0.0,0.52,0.65,0.54,0.56,0.26,0.98,0.58,0.67,0.88
rcp-company-uibindings.csv,0.0,0.0,0.0,0.0,0.38,0.24,0.13,0.13,0.0,0.17,0.0,0.13,0.13,0.0,0.21,1.0,0.0
simplewebservices.csv,0.52,0.4,0.29,0.65,0.58,0.62,0.57,0.22,0.42,0.61,0.34,0.34,0.13,0.33,0.98,0.52,0.7
t-2.csv,0.39,0.54,0.42,0.45,0.44,0.93,0.0,0.43,0.49,0.5,0.56,0.46,0.68,0.53,0.22,0.53,0.85
wsmt.csv,0.35,0.23,0.14,0.27,0.15,0.18,0.57,0.23,0.0,0.28,0.12,0.21,0.97,0.45,0.15,0.12,0.0
yarp0.csv,0.53,0.28,1.0,0.69,0.52,0.5,0.37,0.74,0.28,0.56,0.49,0.57,0.32,0.49,0.46,0.57,0.0
