,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.77,0.99,0.4,0.79,0.5,0.27,0.0,0.0,0.17,0.3,0.6,0.5,0.12,0.37,0.51,0.57,0.03
avisynth2.csv,0.04,0.0,0.0,0.03,0.08,0.0,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0
bigdata.csv,0.38,0.37,0.38,0.48,0.45,0.15,0.09,0.05,0.33,0.3,0.44,0.99,0.26,0.34,0.57,0.45,0.02
dsworkbench.csv,1.0,0.49,0.31,0.46,0.06,0.21,0.13,0.0,0.08,0.4,0.21,0.45,0.19,0.16,0.18,0.19,0.0
foursquared.csv,0.11,0.25,0.0,0.26,0.98,0.14,0.2,0.11,0.48,0.32,0.21,0.49,0.17,0.2,0.37,0.41,0.12
geotools.csv,0.31,0.26,0.09,0.38,0.45,0.28,0.0,0.08,0.48,0.98,0.29,0.45,0.22,0.2,0.12,0.35,0.0
gephex.csv,0.56,0.69,0.34,0.74,0.21,0.24,0.06,0.0,0.27,0.43,0.98,0.52,0.09,0.36,0.57,0.5,0.02
jgossipforum.csv,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0
madman.csv,0.08,0.1,0.11,0.03,0.12,0.11,0.0,0.0,0.93,0.07,0.05,0.0,0.05,0.09,0.0,0.03,0.0
pokenetonline.csv,0.76,0.43,0.48,1.0,0.56,0.33,0.12,0.1,0.31,0.49,0.52,0.84,0.2,0.44,0.23,0.75,0.02
qmmp.csv,0.78,0.69,0.5,0.65,0.53,0.25,0.13,0.0,0.29,0.48,0.65,0.69,0.65,0.98,0.53,0.78,0.05
rcp-company-uibindings.csv,0.86,0.71,0.46,0.83,0.54,0.23,0.09,0.04,0.25,0.44,0.78,0.93,0.56,0.67,0.59,1.0,0.02
simplewebservices.csv,0.62,0.47,0.28,0.73,0.47,0.27,0.11,0.01,0.22,0.44,0.42,0.78,0.17,0.38,0.99,0.65,0.03
t-2.csv,0.81,0.7,0.37,0.58,0.37,0.95,0.0,0.03,0.2,0.36,0.71,0.62,0.69,0.62,0.24,0.77,0.04
wsmt.csv,0.44,0.27,0.13,0.36,0.21,0.09,0.09,0.04,0.0,0.26,0.16,0.29,0.97,0.52,0.19,0.18,0.0
yarp0.csv,0.64,0.32,1.0,0.77,0.48,0.22,0.08,0.07,0.13,0.4,0.56,0.77,0.46,0.49,0.41,0.74,0.0
