,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.0,0.28,0.17,0.0,0.87,0.35,0.38,0.0,0.0,0.15,0.04,0.04,0.38,0.0,0.09,0.04,0.0
fontforge.csv,0.92,0.8,1.0,1.0,0.99,0.6,0.94,0.23,0.87,1.0,0.48,0.88,0.52,0.76,1.0,0.99,0.85
glas.csv,0.75,0.64,0.33,0.36,0.81,0.72,0.65,0.84,0.82,0.32,0.7,0.81,0.59,0.35,0.41,1.0,0.73
gmerlin.csv,0.0,0.88,0.5,0.98,0.0,0.62,1.0,0.0,0.73,0.0,1.0,0.69,0.97,0.76,1.0,0.0,0.33
hannosset.csv,0.63,0.24,0.14,0.09,0.7,0.32,0.25,0.35,0.59,0.35,0.13,0.15,0.21,0.11,0.22,0.22,0.92
hatari.csv,0.51,0.32,0.28,0.71,0.73,0.45,0.73,0.97,0.97,0.8,0.13,0.92,0.55,0.64,0.49,0.83,0.29
jaolt.csv,0.49,0.49,0.17,0.62,0.19,0.19,0.29,0.58,0.31,0.18,0.17,0.72,0.34,0.04,0.19,0.3,0.47
jcl.csv,0.57,0.3,0.56,0.47,0.45,0.36,0.75,0.58,0.7,0.9,0.35,0.12,0.41,0.07,0.3,0.3,0.38
ltp.csv,0.39,0.65,0.86,0.67,0.42,0.61,0.85,0.16,0.63,0.48,0.39,0.42,0.72,0.47,0.83,0.68,0.23
mia.csv,0.29,0.0,0.36,0.73,0.1,0.12,0.42,0.35,0.58,0.98,0.04,0.19,0.03,0.05,0.07,0.23,0.17
net-snmp.csv,0.35,0.31,0.39,0.58,0.83,0.76,0.35,1.0,0.9,0.7,0.83,0.5,0.21,0.65,0.26,0.46,0.24
opde.csv,1.0,0.43,1.0,0.24,0.99,0.59,0.38,0.74,0.68,0.0,0.3,0.97,0.69,0.13,0.93,0.88,0.44
oppna-program-hsatools.csv,0.69,0.3,0.58,1.0,0.67,0.28,0.81,0.84,0.88,0.95,0.09,0.99,0.34,0.22,0.16,0.68,0.56
powerfolder-.csv,0.53,0.16,0.22,0.84,0.42,0.36,0.4,0.55,0.64,0.75,0.39,0.95,0.21,0.16,0.16,0.72,0.53
qlc.csv,0.1,0.64,0.11,0.47,0.96,0.22,0.25,0.1,0.33,0.5,0.0,0.74,0.28,0.25,0.65,0.34,0.09
tcl.csv,0.69,0.81,0.72,0.96,0.54,0.62,0.75,0.0,0.52,0.38,0.7,0.86,0.93,0.91,0.58,0.0,0.23
