,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.73,0.7,0.94,0.5,0.83,0.96,0.56,0.51,0.58,0.73,0.68,0.6
aubit4gl.csv,0.67,0.89,0.93,0.5,0.47,0.8,0.5,0.0,0.74,0.75,0.91,0.94
liferea.csv,0.44,0.46,0.45,0.44,0.67,0.58,0.5,0.5,0.7,0.56,0.62,0.44
moving-pictures.csv,0.45,0.37,0.39,0.9,0.83,0.95,0.44,0.93,0.92,0.87,0.58,0.36
olex2.csv,0.66,0.54,0.45,0.62,0.47,0.69,0.59,0.39,0.58,0.67,0.71,0.45
opensim4opencog.csv,0.4,0.32,0.36,0.38,0.31,0.47,0.38,0.38,0.51,0.48,0.5,0.34
plearn.csv,0.52,0.5,0.51,0.77,0.67,0.87,0.48,0.75,0.52,0.62,0.0,0.52
psrchive.csv,0.54,0.91,0.53,0.48,0.51,0.68,0.52,0.48,0.52,0.68,0.57,0.55
re2c.csv,0.74,0.86,0.53,0.55,0.9,0.72,0.45,0.77,0.57,0.87,0.67,0.51
rebecca-aiml.csv,0.54,0.58,0.38,0.29,0.34,0.45,0.31,0.42,0.61,0.52,0.45,0.37
wxcode.csv,0.54,0.65,0.65,0.6,0.36,0.47,0.56,0.53,0.81,0.49,0.67,0.64
xfce.csv,0.45,0.36,0.42,0.48,0.35,0.42,0.32,0.4,0.46,0.43,0.49,0.4
