,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.88,0.55,0.58,0.12,0.15,1.0,0.82,0.39,0.88,0.08,0.93
avisynth2.csv,0.18,0.0,0.03,0.18,0.1,1.0,0.0,0.0,0.0,0.0,0.0
coot.csv,0.0,0.33,0.57,0.94,0.75,0.0,0.58,0.54,0.38,0.72,0.59
dsworkbench.csv,0.8,0.13,0.1,0.12,0.2,0.0,0.17,0.1,0.25,0.08,0.14
freelords.csv,0.94,0.78,0.62,0.76,0.85,1.0,0.94,0.8,1.0,0.82,0.83
gephex.csv,0.88,0.78,0.61,0.59,0.45,0.0,0.68,0.7,0.38,0.85,0.9
jas.csv,0.22,0.5,0.32,0.29,0.2,0.67,0.37,0.62,0.88,0.35,0.31
jpaul.csv,0.84,0.0,0.1,0.88,0.35,0.33,0.0,0.06,0.88,0.02,0.0
ngl.csv,0.96,0.75,0.84,0.76,0.85,0.67,0.85,0.64,0.75,0.82,0.59
scenemonitor.csv,0.7,0.37,0.38,0.47,0.7,0.0,0.44,0.47,0.12,0.12,0.03
synecdoche.csv,0.68,0.32,0.85,0.47,0.65,0.0,0.45,0.25,0.12,0.48,0.69
