,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.94,0.23,0.32,0.32,0.09,1.0,0.76,0.46,0.44,0.14,0.88
avisynth2.csv,0.06,0.02,0.0,0.05,0.03,0.06,0.05,0.01,0.07,0.0,0.0
coot.csv,0.0,0.35,0.68,0.9,0.88,0.06,0.63,0.34,0.73,0.27,0.63
dsworkbench.csv,0.25,0.04,0.0,0.07,0.12,0.32,0.0,0.25,0.09,0.14,0.23
freelords.csv,0.81,0.81,0.36,0.44,0.72,0.92,0.98,0.56,0.89,0.76,0.84
gephex.csv,0.94,0.77,0.39,0.51,0.41,0.65,0.37,0.77,0.5,0.78,0.95
jas.csv,0.19,0.5,0.43,0.27,0.16,0.16,0.37,0.42,0.14,0.51,0.49
jpaul.csv,0.88,0.0,0.14,0.24,0.22,0.19,0.0,0.03,0.43,0.0,0.0
ngl.csv,0.88,0.81,0.64,0.63,0.72,0.21,0.9,0.33,0.61,0.49,0.72
scenemonitor.csv,0.69,0.25,0.21,0.2,0.16,0.05,0.39,0.42,0.11,0.32,0.12
synecdoche.csv,0.56,0.15,0.64,0.37,0.62,0.15,0.32,0.36,0.38,0.24,0.23
