,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.16,0.92,0.02,0.76,0.33,0.88,0.24,0.05,0.98,0.16
bscwweasel.csv,0.29,0.91,0.06,0.6,0.23,0.87,0.14,0.0,0.99,0.04
cme.csv,0.17,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.83
fido.csv,0.1,1.0,0.0,0.0,0.0,0.92,0.4,0.24,0.0,0.0
japano.csv,0.07,0.96,0.02,0.45,0.2,0.79,0.15,0.04,0.95,0.0
joustsim.csv,0.14,0.93,0.01,0.57,0.21,0.85,0.6,0.05,0.99,0.11
log4net.csv,0.16,1.0,0.17,0.57,0.14,0.93,0.32,0.0,0.94,0.07
personalaccess.csv,0.19,0.94,0.04,0.73,0.27,0.93,0.33,0.03,0.97,0.14
rcp-company-uibindings.csv,0.26,0.94,0.04,0.76,0.26,0.89,0.21,0.08,1.0,0.2
unbvision.csv,0.28,0.96,0.03,0.65,0.49,0.89,0.28,0.0,0.97,0.09
