,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.56,0.51,0.37,0.71,0.61,0.72,0.74,0.59,0.48,0.82
bscwweasel.csv,0.71,0.1,0.89,0.26,0.46,0.52,0.21,0.0,0.84,0.23
cme.csv,0.06,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.02,1.0
fido.csv,0.23,0.17,0.0,0.0,0.0,0.33,0.21,0.97,0.0,0.0
japano.csv,0.33,0.71,0.45,0.4,0.16,0.44,0.53,0.0,0.33,0.0
joustsim.csv,0.62,0.56,0.34,0.5,0.33,0.54,0.83,0.68,0.37,0.65
log4net.csv,0.34,0.23,0.98,0.34,0.04,0.36,0.73,0.0,0.39,0.23
personalaccess.csv,0.53,0.57,0.77,0.71,0.56,0.78,0.41,0.45,0.49,0.72
rcp-company-uibindings.csv,0.58,0.29,0.65,0.53,0.51,0.54,0.4,0.54,0.88,0.89
unbvision.csv,0.45,0.38,0.65,0.64,0.78,0.48,0.65,0.0,0.61,0.3
