,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.75,0.56,0.52,0.16,1.0,0.52,0.49,0.66,0.82,0.34
chaperon.csv,0.19,0.07,0.25,1.0,0.38,0.13,0.1,0.17,0.18,0.31
geotools.csv,0.38,0.18,0.29,0.0,0.55,0.38,0.97,0.13,0.19,0.26
l2j.csv,0.73,0.53,0.46,0.24,0.65,0.56,0.5,0.43,0.99,0.38
mule.csv,0.98,0.32,0.23,0.24,0.35,0.6,0.41,0.4,0.48,0.44
nunit.csv,0.47,0.51,0.39,0.18,0.7,0.56,0.33,0.09,0.62,0.93
primefaces.csv,0.68,0.62,0.55,0.15,0.63,0.57,0.48,0.97,0.72,0.41
springside.csv,0.71,1.0,0.29,0.15,0.76,0.64,0.45,0.73,0.65,0.32
swtfox.csv,0.39,0.27,0.97,0.0,0.59,0.22,0.26,0.47,0.56,0.15
twostep.csv,0.47,0.27,0.48,0.12,0.81,0.96,0.35,0.63,0.69,0.39
