,swtfox.csv,mediate.csv,e-bio-flow.csv,jaxlib.csv,chaperon.csv,azureus.csv,jppf-project.csv,exist.csv,matrex.csv,pokenetonline.csv,freedom-erp.csv,octet.csv,geotools.csv,reaper3d.csv,bigdata.csv,simplewebservices.csv,nunit.csv,stajistics.csv
azureus.csv,0.4,0.48,0.38,0.3,0.41,0.5,0.38,0.44,0.48,0.34,0.31,0.46,0.39,0.35,0.39,0.34,0.33,0.46
bigdata.csv,0.51,0.71,0.52,0.44,0.86,0.96,0.46,0.45,0.59,0.8,0.66,0.86,0.59,0.49,0.46,0.64,0.61,0.94
chaperon.csv,0.66,0.47,0.74,0.41,0.88,0.59,0.48,0.5,0.5,0.83,0.0,0.75,0.83,0.49,0.65,0.69,0.61,0.55
e-bio-flow.csv,0.47,0.59,0.53,0.86,0.53,0.95,0.52,0.63,0.96,0.78,0.4,0.78,0.56,0.44,0.5,0.41,0.68,0.71
exist.csv,0.36,0.32,0.37,0.29,0.44,0.75,0.36,0.41,0.35,0.33,0.3,0.38,0.35,0.38,0.5,0.37,0.34,0.4
freedom-erp.csv,0.57,0.0,0.79,0.35,0.75,0.71,0.37,0.91,0.89,0.75,0.35,0.8,0.8,0.0,0.8,0.0,0.83,0.0
geotools.csv,0.35,0.61,0.42,0.36,0.54,0.43,0.54,0.35,0.4,0.49,0.33,0.83,0.48,0.45,0.54,0.92,0.42,0.43
jaxlib.csv,0.64,0.43,0.83,0.75,0.54,0.82,0.67,0.97,0.69,0.39,0.94,0.63,0.59,0.92,0.7,0.44,0.63,0.55
jppf-project.csv,0.45,0.33,0.52,0.34,0.48,0.41,0.44,0.5,0.36,0.36,0.34,0.58,0.51,0.53,0.51,0.36,0.5,0.58
matrex.csv,0.94,0.49,0.64,0.71,0.5,0.52,0.64,0.86,0.45,0.86,0.71,0.75,0.71,0.67,0.97,0.81,0.97,0.79
mediate.csv,0.92,0.45,0.53,0.41,0.77,0.44,0.7,0.57,0.4,0.44,0.34,0.79,0.59,0.54,0.46,0.6,0.5,0.55
nunit.csv,0.49,0.4,0.49,0.45,0.88,0.95,0.9,0.41,0.9,0.43,0.81,0.82,0.68,0.63,0.57,0.37,0.68,0.49
octet.csv,0.43,0.32,0.38,0.31,0.52,0.59,0.42,0.36,0.41,0.63,0.3,0.85,0.49,0.69,0.46,0.36,0.64,0.7
pokenetonline.csv,0.38,0.32,0.38,0.31,0.42,0.38,0.33,0.34,0.35,0.41,0.3,0.53,0.4,0.4,0.4,0.35,0.42,0.47
reaper3d.csv,0.92,0.92,0.5,0.63,0.77,0.45,0.86,0.58,0.52,0.58,0.34,0.5,0.78,0.43,0.5,0.8,0.52,0.65
simplewebservices.csv,0.38,0.35,0.39,0.3,0.44,0.4,0.33,0.39,0.41,0.35,0.31,0.52,0.42,0.37,0.41,0.46,0.46,0.46
stajistics.csv,0.54,0.75,0.37,0.32,0.7,0.72,0.37,0.37,0.54,0.83,0.31,0.86,0.39,0.38,0.41,0.4,0.38,0.41
swtfox.csv,0.78,0.35,0.84,0.8,0.56,0.54,0.74,0.5,0.49,0.44,0.94,0.7,0.66,0.5,0.54,0.4,0.6,0.58
