,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.5,0.0,0.0,0.67,0.0,0.75,0.0,0.0,0.75,0.0
fityk.csv,0.48,0.52,0.4,0.58,0.43,0.59,0.57,0.43,0.55,0.53
freenet.csv,0.46,0.53,0.43,0.51,0.46,0.51,0.65,0.47,0.59,0.5
geogebra.csv,0.91,0.8,0.4,0.5,0.56,0.47,0.81,0.89,0.62,0.77
hibernate.csv,0.88,0.62,0.62,0.91,0.83,0.86,0.66,0.83,0.73,0.7
itext.csv,0.54,0.67,0.4,0.94,0.45,0.9,0.58,0.79,0.5,0.5
k3b.csv,0.5,0.55,0.44,0.45,0.47,0.75,0.52,0.35,0.56,0.44
lamp.csv,0.93,0.91,0.97,0.67,0.78,0.0,0.79,0.8,0.97,0.97
megameknet.csv,0.54,0.55,0.4,0.63,0.44,0.88,0.72,0.67,0.63,0.54
thout.csv,0.59,0.77,0.53,0.75,0.43,0.48,0.73,0.79,0.68,0.6
