,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,1.0,1.0,1.0,0.97,1.0,0.0,1.0,1.0,0.99,1.0
fityk.csv,0.67,0.75,0.64,0.64,0.79,0.84,0.53,0.05,0.63,0.58
freenet.csv,0.73,0.5,0.03,0.65,0.71,0.53,0.51,0.56,0.65,0.66
geogebra.csv,0.79,0.71,0.73,0.97,0.77,1.18,0.7,0.85,0.65,0.06
hibernate.csv,0.8,0.58,0.66,0.85,0.74,0.78,0.65,0.86,0.03,0.6
itext.csv,0.46,0.65,0.58,0.82,0.09,1.0,0.52,0.83,0.62,0.52
k3b.csv,0.46,0.59,0.51,0.0,0.61,0.54,0.65,0.76,0.65,0.69
lamp.csv,0.0,0.89,0.83,0.95,0.74,1.0,0.62,0.89,0.88,0.82
megameknet.csv,0.71,0.55,0.65,0.64,0.81,0.78,0.07,0.57,0.65,0.64
thout.csv,0.81,0.05,0.71,0.85,0.94,0.82,0.62,0.79,0.76,0.58
