,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.0,0.0,0.0,0.03,0.0,1.0,0.0,0.0,0.01,0.0
fityk.csv,0.5,0.84,0.77,0.55,0.82,0.25,0.74,0.95,0.67,0.59
freenet.csv,0.64,0.64,0.97,0.5,0.62,0.75,0.52,0.61,0.48,0.64
geogebra.csv,0.21,0.3,0.63,0.03,0.38,0.0,0.3,0.16,0.58,0.94
hibernate.csv,0.21,0.57,0.42,0.16,0.26,0.25,0.45,0.14,0.97,0.43
itext.csv,0.64,0.36,0.5,0.21,0.91,0.0,0.49,0.25,0.42,0.53
k3b.csv,0.71,0.43,0.54,1.0,0.76,0.5,0.8,0.8,0.4,0.9
lamp.csv,1.0,0.11,0.17,0.05,0.26,0.0,0.39,0.11,0.12,0.18
megameknet.csv,0.43,0.5,0.7,0.55,0.88,0.25,0.93,0.45,0.47,0.69
thout.csv,0.57,0.95,0.62,0.43,0.94,0.5,0.46,0.39,0.48,0.62
