,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,rcp-company-uibindings.csv,thedata.csv
adonthell.csv,0.49,0.47,0.69,0.51,0.96,0.61,0.47,0.4,0.45,0.17,0.3,0.29,0.69,0.08,0.22,0.61,0.47,0.59,0.07
autofac.csv,0.7,0.62,0.49,0.96,0.43,0.52,0.59,0.52,0.5,0.28,0.1,0.54,0.58,0.09,0.25,0.67,0.42,0.82,0.06
avisynth2.csv,0.07,0.12,0.15,0.13,0.0,0.12,0.11,0.05,0.1,0.0,0.0,0.09,0.12,1.0,0.0,0.07,0.11,0.08,0.0
azureus.csv,0.4,0.36,0.53,0.41,0.18,0.22,0.46,0.3,0.29,0.29,0.58,0.99,0.32,0.0,0.22,0.28,0.41,0.57,0.12
dsworkbench.csv,0.61,0.45,0.97,0.48,0.61,0.18,0.5,0.45,0.41,0.2,0.08,0.35,0.67,0.17,0.35,0.52,0.38,0.39,0.12
forester-atv.csv,0.1,0.98,0.56,0.13,0.09,0.21,0.11,0.44,0.17,0.21,0.0,0.24,0.33,0.0,0.4,0.21,0.15,0.23,0.0
freelords.csv,0.85,0.38,0.74,0.61,0.59,0.99,0.5,0.47,0.49,0.18,0.33,0.45,0.7,0.14,0.29,0.52,0.45,0.85,0.05
gabel.csv,0.0,0.13,0.0,0.0,0.0,0.07,0.11,0.09,0.0,0.93,0.09,0.0,0.03,0.0,0.18,0.07,0.04,0.09,0.0
geotools.csv,0.66,0.28,0.39,0.17,0.32,0.18,0.36,0.32,0.29,0.07,0.24,0.28,0.31,0.17,0.55,0.31,0.99,0.54,0.11
google-collections.csv,1.0,0.53,0.86,0.62,0.72,0.85,0.45,0.51,0.56,0.15,0.32,0.41,0.83,0.09,0.22,0.54,0.45,0.98,0.11
jpaul.csv,0.6,0.62,0.54,0.49,0.0,0.02,1.0,0.28,0.59,0.32,0.0,0.54,0.51,0.0,0.38,0.47,0.34,0.23,0.1
mycila.csv,0.1,0.06,0.49,0.47,0.35,0.4,0.22,0.27,0.28,0.0,0.95,0.08,0.28,0.0,0.14,0.09,0.15,0.27,0.06
neodatis-odb.csv,0.36,0.51,0.56,0.6,0.46,0.29,0.3,0.96,0.37,0.04,0.24,0.35,0.6,0.29,0.11,0.26,0.33,0.53,0.31
octet.csv,0.72,0.38,0.44,0.24,0.23,0.19,0.28,0.43,0.2,0.14,0.13,0.31,0.45,0.0,1.0,0.72,0.39,0.8,0.1
pokenetonline.csv,0.79,0.61,0.82,0.56,0.29,0.42,0.46,0.38,0.49,0.17,0.32,0.47,0.99,0.08,0.4,0.72,0.44,0.54,0.12
rcp-company-uibindings.csv,0.91,0.57,0.85,0.58,0.71,0.84,0.46,0.5,0.57,0.15,0.32,0.43,0.83,0.11,0.22,0.54,0.45,1.0,0.1
scenemonitor.csv,0.9,0.52,0.77,0.67,0.59,0.71,0.51,0.49,0.97,0.19,0.21,0.47,0.76,0.16,0.23,0.56,0.43,0.76,0.15
thedata.csv,0.12,0.18,0.18,0.06,0.18,0.16,0.15,0.3,0.3,0.0,0.15,0.22,0.23,0.0,0.0,0.07,0.18,0.15,1.0
twostep.csv,0.43,0.64,0.78,0.6,0.51,0.57,0.41,0.45,0.34,0.22,0.35,0.44,0.79,0.06,0.28,1.0,0.5,0.68,0.06
