,pclasses.csv,olap-navigator.csv,re2c.csv,tzod.csv,wxcrp.csv,atlc.csv,konversation.csv,co-ode-owl-plugins.csv,etherboot.csv,boost-sandbox.csv,plato.csv,freebios.csv,clamav.csv,miranda-icq.csv,jasperreports.csv,frogatto.csv,rebecca-aiml.csv,glelite.csv
atlc.csv,0.74,0.53,0.81,0.8,0.49,0.48,0.46,0.52,0.47,0.44,0.67,0.5,0.39,0.53,0.53,0.91,0.49,0.56
boost-sandbox.csv,0.49,0.33,0.89,0.38,0.64,0.52,0.48,0.51,0.92,0.62,0.38,0.55,0.44,0.55,0.65,0.41,0.59,0.95
clamav.csv,0.43,0.44,0.44,0.35,0.35,0.5,0.47,0.55,0.44,0.9,0.42,0.57,0.45,0.32,0.46,0.4,0.54,0.51
co-ode-owl-plugins.csv,0.68,0.62,0.86,0.44,0.74,0.71,0.71,0.96,0.88,0.64,0.89,0.63,0.9,0.81,0.6,0.43,0.46,0.66
etherboot.csv,0.39,0.43,0.0,0.75,0.0,0.41,0.42,0.83,0.58,0.67,0.39,0.0,0.39,0.0,0.0,0.45,0.0,0.5
freebios.csv,0.51,0.79,0.44,0.53,0.58,0.7,0.76,0.73,0.68,0.51,0.45,0.64,0.57,0.83,0.73,0.61,0.87,0.72
frogatto.csv,0.45,0.4,0.38,0.36,0.38,0.5,0.39,0.38,0.39,0.35,0.35,0.41,0.5,0.34,0.45,0.44,0.53,0.46
glelite.csv,0.42,0.55,0.42,0.36,0.39,0.42,0.43,0.49,0.42,0.48,0.43,0.42,0.39,0.39,0.46,0.43,0.43,0.51
jasperreports.csv,0.49,0.49,0.48,0.38,0.45,0.57,0.43,0.39,0.45,0.45,0.44,0.48,0.43,0.53,0.69,0.73,0.93,0.63
konversation.csv,0.68,0.53,0.88,0.47,0.71,0.82,0.5,0.81,0.66,0.5,0.58,0.64,0.86,0.72,0.57,0.63,0.88,0.77
miranda-icq.csv,0.53,0.36,0.69,0.51,0.52,0.46,0.6,0.5,0.47,0.4,0.43,0.49,0.69,0.57,0.48,0.77,0.71,0.76
olap-navigator.csv,0.71,0.58,0.44,0.37,0.45,0.67,0.42,0.38,0.52,0.42,0.42,0.46,0.69,0.66,0.5,0.55,0.53,0.62
pclasses.csv,0.7,0.57,0.8,0.49,0.57,0.0,0.73,0.7,0.67,0.85,0.62,0.88,0.52,0.0,0.62,0.8,0.57,0.92
plato.csv,0.42,0.52,0.42,0.37,0.43,0.41,0.43,0.45,0.41,0.39,0.49,0.43,0.44,0.39,0.46,0.43,0.4,0.5
re2c.csv,0.83,0.76,0.86,0.51,0.76,0.71,0.88,0.95,0.95,0.97,0.92,0.84,0.88,0.64,0.85,0.39,0.61,0.65
rebecca-aiml.csv,0.83,0.48,0.5,0.48,0.42,0.86,0.58,0.5,0.59,0.49,0.37,0.9,0.8,0.48,0.38,0.43,0.6,0.41
tzod.csv,0.75,0.55,0.37,0.47,0.51,0.51,0.52,0.58,0.43,0.48,0.45,0.52,0.5,0.5,0.52,0.91,0.62,0.62
wxcrp.csv,0.76,0.8,0.42,0.52,0.47,0.82,0.51,0.55,0.41,0.4,0.63,0.62,0.86,0.5,0.48,0.88,0.56,0.52
