,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.0,0.05,0.0,0.06,0.0
k3b.csv,0.61,0.57,0.8,0.5,0.0
myfaces.csv,0.71,0.59,0.36,0.0,0.25
robocode.csv,0.0,0.43,0.27,0.31,0.25
zildo.csv,0.25,0.02,0.34,0.44,0.54
