,graphmak.csv,pdfedit.csv,hazelcast.csv,betoffice.csv,tart.csv,jrdf.csv,elvishrayrenderer.csv
betoffice.csv,0.15,0.51,0.81,0.55,0.05,0.17,0.68
elvishrayrenderer.csv,0.46,0.51,0.93,0.5,0.05,0.28,0.83
graphmak.csv,0.58,0.5,0.85,0.5,0.05,0.17,0.65
hazelcast.csv,0.37,0.52,1.0,0.54,0.05,0.27,0.71
jrdf.csv,0.21,0.5,0.96,0.25,0.04,0.48,0.77
pdfedit.csv,0.31,0.71,0.82,0.45,0.07,0.2,0.73
tart.csv,0.38,0.6,0.91,0.5,0.2,0.2,0.7
