,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.17,0.49,0.15,0.33,0.37,1.0,0.31,0.73,0.27,0.15,0.36,0.18,0.29
bdbbasic.csv,0.53,0.58,0.14,0.58,0.32,0.58,0.32,0.5,0.97,0.59,0.51,0.33,0.63
echongl.csv,0.44,0.4,0.08,0.58,0.41,0.32,0.36,0.64,0.44,0.99,0.47,0.33,0.65
etherboot.csv,0.39,0.26,0.1,0.39,0.98,0.2,0.44,0.67,0.35,0.47,0.41,0.19,0.63
freebios.csv,0.37,0.44,0.13,0.53,0.4,0.28,1.0,0.54,0.4,0.57,0.35,0.35,0.57
gebr.csv,0.47,0.26,0.08,0.67,0.43,0.48,0.57,0.98,0.45,0.83,0.49,0.31,0.84
gnukeda.csv,0.45,0.42,0.08,0.97,0.4,0.5,0.39,0.71,0.49,0.75,0.54,0.3,0.68
google-gears.csv,0.49,0.37,0.12,0.71,0.43,0.26,0.51,0.72,0.37,0.7,0.33,0.32,1.0
jnode.csv,0.0,0.08,0.9,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openmeetings.csv,0.45,0.98,0.11,0.47,0.24,0.46,0.11,0.51,0.34,0.27,0.44,0.38,0.58
pgui.csv,0.31,0.39,0.04,0.32,0.17,0.22,0.04,0.22,0.37,0.3,0.97,0.3,0.38
tradelink.csv,0.26,0.16,0.0,0.05,0.2,0.45,0.17,0.0,0.26,0.37,0.17,0.94,0.08
wxcrp.csv,0.97,0.19,0.1,0.22,0.18,0.5,0.04,0.24,0.38,0.24,0.37,0.37,0.3
