,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.51,0.37,0.44,0.83,0.16,0.57,0.54,0.19,0.03,0.74,0.63
cubefs.csv,0.27,0.37,0.3,0.75,0.07,0.61,0.62,0.76,0.0,0.72,0.63
iaml.csv,0.23,0.18,0.24,0.27,0.38,0.47,0.72,0.14,0.0,0.58,0.29
ivataopenportal.csv,0.54,0.37,0.34,0.89,0.17,0.71,0.65,0.81,0.0,0.79,0.63
mb-unit.csv,0.52,0.0,0.3,0.78,0.16,0.68,0.4,0.23,0.05,0.8,0.51
mvdsv.csv,0.05,0.2,0.0,0.12,0.86,0.02,0.12,0.12,0.0,0.3,0.15
nova.csv,0.49,0.63,0.33,0.62,0.0,0.42,0.57,0.65,0.04,0.51,0.55
olex2.csv,0.49,0.41,0.31,0.75,0.25,0.66,0.57,0.67,0.0,0.74,0.69
openwbem.csv,0.56,0.43,0.36,0.64,0.26,0.6,0.42,0.78,0.07,0.65,0.62
xcmetadataservicestoolkit.csv,0.38,0.34,0.23,0.64,0.2,0.58,0.68,0.34,0.04,0.85,0.63
