,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.09,0.0,0.68,0.38,0.0,0.56,0.5,0.12,0.09,0.0,0.13
cubefs.csv,0.27,0.0,0.0,0.54,0.3,0.58,0.57,0.69,0.0,0.63,0.0
iaml.csv,0.2,0.18,0.41,0.19,0.7,0.43,0.69,0.1,0.0,0.48,0.24
ivataopenportal.csv,0.63,0.0,0.54,0.35,0.3,0.71,0.33,0.0,0.0,0.27,0.0
mb-unit.csv,0.21,0.0,0.56,0.66,0.0,0.44,0.37,0.16,0.75,0.7,0.47
mvdsv.csv,0.04,0.27,0.0,0.09,0.99,0.01,0.07,0.07,0.0,0.22,0.1
nova.csv,0.57,0.83,0.64,0.49,0.0,0.38,0.53,0.57,0.61,0.42,0.49
olex2.csv,0.49,0.56,0.54,0.62,0.67,0.13,0.53,0.59,0.0,0.66,0.71
openwbem.csv,0.6,0.43,0.52,0.52,0.67,0.47,0.35,0.57,0.85,0.55,0.66
xcmetadataservicestoolkit.csv,0.41,0.49,0.48,0.52,0.59,0.49,0.34,0.25,0.45,0.78,0.66
