,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.23,0.98,0.1,0.54,0.81,0.91,0.45,0.99,0.45,0.0,0.75,1.0
ivatamasks.csv,0.33,0.99,0.08,1.0,0.64,0.79,0.44,0.69,0.58,0.01,0.76,0.87
orc.csv,0.04,1.0,1.0,0.52,0.59,0.82,0.0,0.0,1.0,0.01,0.65,0.96
plato.csv,0.1,0.98,0.08,0.69,0.7,1.0,0.45,0.0,0.67,0.01,0.73,0.84
proftp.csv,0.44,1.0,0.16,0.82,0.61,0.82,0.96,0.77,0.75,0.0,0.85,0.95
tycho.csv,0.28,1.0,0.06,0.67,0.63,1.0,0.57,0.81,1.0,0.0,0.72,0.96
uclmda.csv,0.25,1.0,0.04,1.0,0.7,0.5,0.52,0.33,0.55,0.0,0.5,1.0
umber.csv,1.0,1.0,0.09,0.78,0.91,0.64,0.33,0.72,0.86,0.0,0.86,0.96
unicase.csv,0.35,0.99,0.15,0.68,0.63,0.9,0.41,0.73,1.0,0.0,0.99,0.25
vienna-add-in.csv,0.49,0.99,0.1,0.67,0.99,0.84,0.45,0.72,0.55,0.0,0.76,0.97
wpdev.csv,0.26,1.0,0.1,0.68,0.67,0.86,0.45,0.72,0.59,0.01,0.72,0.96
