,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.8,1.04,0.76,0.9,0.71,0.77,0.88,0.03,0.84,1.03,0.7,0.99
ivatamasks.csv,0.71,0.52,0.88,0.01,0.9,0.89,0.79,0.91,0.89,0.74,0.68,1.25
orc.csv,1.22,0.9,0.0,0.91,1.01,1.01,1.0,1.0,0.97,0.83,0.95,0.8
plato.csv,1.18,1.0,0.95,0.75,0.71,0.02,0.97,1.0,0.69,0.84,0.84,1.1
proftp.csv,0.65,0.63,0.62,0.53,0.86,0.76,0.1,0.84,0.91,1.08,0.61,0.85
tycho.csv,0.79,0.37,0.88,0.79,0.78,0.86,0.75,0.59,0.03,1.1,0.88,0.88
uclmda.csv,0.95,0.95,0.93,0.99,0.8,0.98,0.67,0.98,0.82,1.0,0.97,0.0
umber.csv,0.05,0.75,0.77,0.52,0.88,0.97,0.97,1.0,0.83,1.0,0.85,0.86
unicase.csv,0.57,0.51,0.58,0.85,0.76,0.52,0.78,0.92,0.97,1.25,0.02,1.11
vienna-add-in.csv,0.35,1.0,0.94,1.0,0.03,1.0,1.0,1.0,1.0,1.25,0.66,0.73
wpdev.csv,1.0,0.0,1.0,1.0,1.0,0.88,1.0,1.0,0.86,1.0,1.0,1.0
