,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,bigdata.csv,wsmt.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.29,0.25,0.59,0.14,0.65,0.59,0.47,0.41,0.17,0.4,0.23,0.3,0.54,0.29,0.52,0.87,0.57,0.66,0.3,0.62
apertium.csv,0.28,0.53,0.67,0.28,0.68,0.52,0.54,1.0,0.13,0.66,0.62,0.29,0.77,0.39,0.5,0.86,0.38,0.29,0.0,0.36
beast-mcmc.csv,0.56,0.43,0.49,0.29,0.66,0.52,0.58,0.37,0.18,0.63,0.32,0.3,0.58,0.33,0.58,0.91,0.48,0.45,0.31,0.43
bigdata.csv,0.51,0.5,0.57,0.25,0.72,0.55,0.6,0.39,0.18,0.52,0.2,0.27,0.66,0.36,0.55,0.91,0.69,0.41,0.25,0.45
cuberok.csv,0.37,0.37,0.48,0.2,0.64,0.51,0.48,0.59,0.23,0.62,0.33,0.23,0.59,0.29,0.44,0.89,0.7,0.59,0.3,0.37
exist.csv,0.31,0.33,0.6,0.22,0.78,0.51,0.51,0.41,0.15,0.5,0.23,0.32,0.81,0.35,0.55,0.92,0.55,0.45,0.29,0.38
icescrum.csv,0.5,0.45,0.68,0.27,0.84,0.58,0.62,0.5,0.17,0.7,0.41,0.4,0.77,0.4,0.79,0.92,0.26,0.47,0.26,0.74
jbasic.csv,0.32,0.42,0.47,0.24,0.69,0.53,0.54,0.45,0.17,0.67,0.3,0.31,0.58,0.33,0.43,0.92,0.36,0.39,0.29,0.4
jgnash.csv,0.32,0.42,0.61,0.3,0.69,0.62,0.55,0.38,0.36,0.56,0.39,0.38,0.63,0.47,0.55,0.89,0.6,0.43,0.25,0.34
jrefactory.csv,0.18,0.3,0.7,0.15,0.5,0.56,0.45,0.42,0.11,0.41,0.16,0.36,0.57,0.26,0.54,0.86,0.55,0.51,0.31,0.29
jsecurity.csv,0.44,0.56,0.49,0.4,0.77,0.53,0.6,0.28,0.16,0.75,0.36,0.27,0.66,0.33,0.5,0.94,0.14,0.53,0.4,0.5
libopenmetaverse.csv,0.27,0.33,0.58,0.19,0.65,0.69,0.51,0.35,0.15,0.49,0.38,0.33,0.57,0.31,0.54,0.88,0.54,0.42,0.24,0.37
mobicents.csv,0.38,0.42,0.55,0.32,0.89,0.43,0.68,0.42,0.24,0.59,0.32,0.31,0.6,0.39,0.55,0.91,0.58,0.37,0.3,0.36
mp-rechnungs-und-kundenverwaltung.csv,0.25,0.42,0.52,0.16,0.82,0.5,0.62,0.46,0.16,0.5,0.43,0.75,0.61,0.45,0.5,0.9,0.67,0.67,0.57,0.5
opendvr.csv,0.49,0.45,0.45,0.41,0.82,0.49,0.65,0.5,0.18,0.57,0.36,0.43,0.59,0.33,0.69,0.91,0.44,0.36,0.48,0.62
openefm.csv,0.35,0.58,0.42,0.23,0.7,0.6,0.52,0.45,0.18,0.4,0.48,0.29,0.6,0.28,0.61,0.88,0.5,0.55,0.31,0.44
sidekar.csv,0.0,0.44,0.0,0.0,0.87,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
wheat.csv,0.31,0.34,0.46,0.2,0.72,0.48,0.51,0.48,0.15,0.46,0.35,0.38,0.6,0.3,0.73,0.86,0.67,0.57,0.31,0.48
wsmt.csv,0.31,0.37,0.33,0.18,1.0,0.8,0.44,0.33,0.11,0.59,0.12,0.18,0.59,0.24,0.75,0.88,0.81,0.67,0.12,0.0
yarp0.csv,0.24,0.33,0.56,0.2,0.71,0.47,0.62,0.32,0.23,0.48,0.44,0.55,0.66,0.34,0.57,0.86,0.45,0.38,0.25,0.43
