,empyrean.csv,amanda.csv,nutz.csv,impala.csv,multitude.csv,pi-qmc.csv
amanda.csv,0.79,0.72,0.27,0.13,0.67,0.4
empyrean.csv,0.89,0.0,0.0,0.0,0.0,0.14
impala.csv,0.69,0.46,0.13,0.23,0.57,0.37
multitude.csv,0.65,0.51,0.28,0.12,0.73,0.4
nutz.csv,0.65,0.38,0.55,0.07,0.48,0.26
pi-qmc.csv,0.64,0.51,0.42,0.13,0.5,0.72
