,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.48,0.44,0.64,0.35,0.55,0.41,0.56,0.91,0.39,0.49,0.37,0.51,0.43
avisynth2.csv,0.92,0.83,0.0,0.83,0.8,0.91,0.9,0.0,0.8,0.9,0.67,0.0,0.89
beast-mcmc.csv,0.52,0.4,0.48,0.34,0.77,0.35,0.38,0.35,0.43,0.46,0.52,0.48,0.54
dataobjectsdotnet.csv,0.75,0.5,0.5,0.82,0.95,0.5,0.59,0.68,0.49,0.65,0.45,0.48,0.8
exist.csv,0.38,0.42,0.45,0.3,0.41,0.4,0.34,0.3,0.38,0.41,0.34,0.43,0.35
foursquared.csv,0.93,0.89,0.8,0.67,0.67,0.96,0.92,0.5,0.73,0.96,0.91,0.56,0.75
jaxlib.csv,0.78,0.63,0.56,0.8,0.39,0.97,0.38,0.38,0.91,0.83,0.45,0.5,0.46
jrefactory.csv,0.44,0.51,0.53,0.77,0.33,0.89,0.41,0.37,0.0,0.68,0.48,0.5,0.44
nodal.csv,0.79,0.52,0.77,0.75,0.73,0.58,0.55,0.89,0.83,0.8,0.97,0.0,0.5
opendvr.csv,0.38,0.44,0.81,0.3,0.46,0.36,0.38,0.37,0.4,0.42,0.39,0.66,0.43
pokenetonline.csv,0.36,0.4,0.5,0.3,0.49,0.34,0.4,0.35,0.4,0.43,0.36,0.46,0.49
simplewebservices.csv,0.39,0.51,0.53,0.3,0.43,0.43,0.35,0.3,0.44,0.4,0.45,0.49,0.4
uface.csv,0.41,0.39,0.49,0.29,0.41,0.36,0.34,0.3,0.4,0.42,0.33,0.45,0.38
