,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.58,0.79,0.52,0.85,0.68,0.8,0.59,0.94,0.98,0.71,0.61,0.76,0.37
avisynth2.csv,0.94,0.99,1.0,0.51,0.91,0.95,0.89,1.0,0.03,0.97,1.0,1.0,0.94
beast-mcmc.csv,0.36,0.84,0.79,0.92,0.69,0.85,0.42,0.63,0.81,0.64,0.59,0.67,0.58
dataobjectsdotnet.csv,0.54,0.79,0.72,1.03,0.86,0.68,0.65,0.7,0.55,0.52,0.56,0.68,0.84
exist.csv,0.63,0.89,0.77,0.85,0.72,0.33,0.8,0.94,0.81,0.78,0.79,0.98,0.31
foursquared.csv,0.9,0.93,0.84,1.0,0.96,0.86,0.8,0.27,0.39,0.89,0.93,0.8,0.96
jaxlib.csv,0.7,0.8,0.69,0.06,0.81,0.87,0.77,0.54,0.69,0.77,0.79,0.76,0.99
jrefactory.csv,0.9,0.46,0.74,0.56,0.94,0.93,1.02,0.85,1.0,0.73,0.83,0.64,0.95
nodal.csv,0.77,0.74,0.84,1.03,0.46,0.7,0.69,0.93,1.0,0.84,0.89,1.0,0.56
opendvr.csv,0.59,0.93,0.59,1.0,0.56,0.69,0.3,0.54,1.0,0.7,0.66,0.45,0.46
pokenetonline.csv,0.77,1.03,0.93,1.0,0.63,1.0,0.32,0.65,1.0,0.82,0.72,0.93,0.39
simplewebservices.csv,0.65,0.82,0.61,1.0,0.64,0.45,0.88,0.7,0.84,0.66,0.48,0.64,0.31
uface.csv,0.49,0.72,0.69,1.1,0.64,0.66,0.53,0.81,1.0,0.65,0.77,0.98,0.08
