,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.57,0.36,0.59,0.85,0.77,0.79,0.64,0.62,0.97,0.37,0.25,0.55
aubit4gl.csv,0.95,0.52,0.67,0.95,0.48,0.93,0.61,0.91,0.6,0.77,0.45,0.8
liferea.csv,0.69,1.07,0.63,0.36,0.9,0.8,0.83,0.69,0.85,0.92,0.74,0.7
moving-pictures.csv,0.57,0.75,0.6,0.78,0.69,0.79,0.48,0.93,0.74,0.75,0.35,0.68
olex2.csv,0.77,0.89,0.49,0.64,0.61,0.89,0.85,0.58,0.89,0.81,0.72,0.39
opensim4opencog.csv,0.55,0.96,0.49,0.48,0.79,0.48,0.67,0.61,0.76,0.61,0.37,0.46
plearn.csv,0.48,1.14,0.52,0.54,0.55,0.63,0.81,0.53,0.82,0.68,0.47,0.46
psrchive.csv,0.51,0.38,0.25,0.75,0.78,0.72,0.63,0.89,0.52,0.68,0.29,0.53
re2c.csv,0.7,0.02,0.66,0.79,0.83,0.84,0.69,0.72,0.54,0.93,1.11,0.8
rebecca-aiml.csv,0.66,0.76,0.75,0.8,0.82,0.85,0.9,0.56,0.17,0.65,0.79,0.93
wxcode.csv,0.66,0.71,0.74,0.66,0.71,0.52,0.79,0.73,0.95,0.51,0.18,0.74
xfce.csv,0.61,0.87,0.74,0.51,0.82,0.82,0.8,0.54,0.59,0.75,0.65,0.68
